id,audio_path,transcript,accuracy,accuracy_5scale,rejected_label,label_num,rejected_label_num
60083,/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0006/000060083.WAV,MARK GOT SOME NOODLES,10,Excellent,Good,5,4
60094,/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0006/000060094.WAV,TOM LIKES THE OLD SWEATER,10,Excellent,Good,5,4
60102,/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0006/000060102.WAV,BOB NEEDS NEW BOOTS,10,Excellent,Good,5,4
60106,/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0006/000060106.WAV,TOM CAN SEE THE MOTOR CYCLE,10,Excellent,Good,5,4
60111,/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0006/000060111.WAV,HE LEFT THE FRUIT STAND,10,Excellent,Good,5,4
60113,/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0006/000060113.WAV,LET'S GO TO THE GYM,10,Excellent,Good,5,4
60116,/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0006/000060116.WAV,SO MARK WHEN TO THE PET SHOP,10,Excellent,Good,5,4
60124,/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0006/000060124.WAV,SO ALICE WENT ON TO VILLAGE,9,Excellent,Good,5,4
60130,/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0006/000060130.WAV,NO THAT'S TOMATO,10,Excellent,Good,5,4
60136,/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0006/000060136.WAV,I'M NOT A ACTOR,9,Excellent,Good,5,4
60153,/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0006/000060153.WAV,WHAT LOVELY CLEAN TEETH,9,Excellent,Good,5,4
260001,/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0026/000260001.WAV,LAYLA LOVE BROWN,6,Fair,Bad,3,2
260011,/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0026/000260011.WAV,ANDY CAN SEE THE HEN,8,Good,Average,4,3
260015,/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0026/000260015.WAV,JOHN IS GOING TO SEE COW,9,Excellent,Good,5,4
260032,/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0026/000260032.WAV,ONE ONE ZERO EIGHT,8,Good,Average,4,3
260033,/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0026/000260033.WAV,THREE ONE SEVEN NINE,9,Excellent,Good,5,4
260039,/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0026/000260039.WAV,EIGHT ZERO SIX TWO,9,Excellent,Good,5,4
260048,/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0026/000260048.WAV,THREE ZERO EIGHT SEVEN,9,Excellent,Good,5,4
260050,/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0026/000260050.WAV,ZERO EIGHT THREE ONE,9,Excellent,Good,5,4
260052,/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0026/000260052.WAV,SIX EIGHT SIX SEVEN,10,Excellent,Good,5,4
260069,/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0026/000260069.WAV,TEDDY GIVES UP SHOOTING,7,Good,Average,4,3
260075,/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0026/000260075.WAV,HE LIKES RACING,9,Excellent,Good,5,4
260091,/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0026/000260091.WAV,DORA LIKES YOUR RED JEANS,8,Good,Average,4,3
260095,/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0026/000260095.WAV,BOB LOVES THE NEW CLOTH,8,Good,Bad,4,2
260096,/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0026/000260096.WAV,JOHN NEEDS NEW T SHIRT,9,Excellent,Good,5,4
260112,/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0026/000260112.WAV,THEN LILLY WALKS TO MUSIC ROOM,9,Excellent,Good,5,4
260115,/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0026/000260115.WAV,THEN TIM WALKS TO THEM PARK,9,Excellent,Good,5,4
260121,/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0026/000260121.WAV,THEN MANDY WALKS TO RESTROOM,9,Excellent,Good,5,4
260126,/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0026/000260126.WAV,DO YOU WANT THE PEA,9,Excellent,Good,5,4
260133,/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0026/000260133.WAV,ANDY GOT THE MUSHROOM,10,Excellent,Good,5,4
260166,/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0026/000260166.WAV,NOW FOR THE PARTY,9,Excellent,Good,5,4
360013,/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0036/000360013.WAV,IT'S JUST SO HARD TO PICTURE,9,Excellent,Good,5,4
360034,/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0036/000360034.WAV,WE SPEAK OUT WHEN WE FEEL WE SHOULD SPEAK OUT,9,Excellent,Good,5,4
360036,/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0036/000360036.WAV,I COULD DO WITH A BREAK,9,Excellent,Average,5,3
360132,/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0036/000360132.WAV,IT IS ALWAYS SO NICE TO SEE YOU,9,Excellent,Good,5,4
360133,/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0036/000360133.WAV,UNFORTUNATELY NO ONE IS ALLOW TO SAY,8,Good,Excellent,4,5
360161,/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0036/000360161.WAV,ALMOST TIME FOR A HAIRCUT,7,Good,Excellent,4,5
360190,/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0036/000360190.WAV,SO YOU WANT TO BE MORE PRODUCTIVE,9,Excellent,Good,5,4
360210,/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0036/000360210.WAV,STARTING CAN NOT BE BETTER THAN THIS,9,Excellent,Good,5,4
360223,/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0036/000360223.WAV,I KEEP IT TO BE AMUSED BY THE STUPIDITY,7,Good,Excellent,4,5
360241,/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0036/000360241.WAV,AFTER THAT I BE READY TO GO,8,Good,Average,4,3
360264,/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0036/000360264.WAV,I THANK YOU FOR YOUR SYMPATHY BECAUSE IT COUNTS,7,Good,Excellent,4,5
360283,/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0036/000360283.WAV,OFF THE CHAIN I BET,8,Good,Average,4,3
360313,/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0036/000360313.WAV,HE NODDED HIS HEAD AND SMILED,8,Good,Average,4,3
360314,/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0036/000360314.WAV,BUT TELL ME THE TRUTH,9,Excellent,Good,5,4
360332,/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0036/000360332.WAV,THE FIRST QUESTION WAS AN OBVIOUS ONE,9,Excellent,Good,5,4
360334,/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0036/000360334.WAV,THE SHOCK WAS TOO MUCH FOR HIM,9,Excellent,Good,5,4
360339,/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0036/000360339.WAV,HE KNOWS HE'S ABOUT TO GET INTO FIGHT,8,Good,Excellent,4,5
360343,/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0036/000360343.WAV,HE WAS ALWAYS READY TO DO ANYTHING WHATEVER,9,Excellent,Good,5,4
360360,/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0036/000360360.WAV,THE LONG AND THE SHORT OF IT IS THIS,7,Good,Excellent,4,5
360378,/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0036/000360378.WAV,YOU WANT TO BE LOVE,9,Excellent,Average,5,3
480010,/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0048/000480010.WAV,IT'S NOT FISH,8,Good,Bad,4,2
480014,/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0048/000480014.WAV,JOHN CAN SEE THE SHEEP,6,Fair,Bad,3,2
480015,/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0048/000480015.WAV,LYNDA IS GOING TO SEE ELEPHANT,8,Good,Excellent,4,5
480016,/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0048/000480016.WAV,MY CAN DRAW THE GOAT,6,Fair,Worst,3,1
480019,/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0048/000480019.WAV,TINA CAN DRAW THE BALT,7,Good,Average,4,3
480023,/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0048/000480023.WAV,BRO IS FROM JUMP,6,Fair,Bad,3,2
480033,/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0048/000480033.WAV,ZERO FIVE EIGHT THREE,5,Fair,Good,3,4
480045,/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0048/000480045.WAV,FIVE NINE SIX FIVE,7,Good,Excellent,4,5
480068,/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0048/000480068.WAV,ANN LIKES HULK,7,Good,Excellent,4,5
480081,/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0048/000480081.WAV,DOES KATE LIKE THE BREAD,7,Good,Bad,4,2
480089,/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0048/000480089.WAV,LILLY HAS A BIG LEG,7,Good,Average,4,3
480090,/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0048/000480090.WAV,BY THE HAND,4,Poor,Average,2,3
480108,/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0048/000480108.WAV,LOOK AT THIS BIG JEEP,5,Fair,Good,3,4
480119,/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0048/000480119.WAV,SO HE WHEN TO T V ROOM,7,Good,Average,4,3
480125,/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0048/000480125.WAV,SO BILLY WENT INTO THE PET SHOP,5,Fair,Good,3,4
480134,/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0048/000480134.WAV,LIKES THE STRING BEAN,6,Fair,Bad,3,2
480136,/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0048/000480136.WAV,SHE WANTS DO A STUDENT,5,Fair,Bad,3,2
480151,/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0048/000480151.WAV,WHAT WILL YOU CAT,7,Good,Average,4,3
480158,/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0048/000480158.WAV,COME AND SEE MY DOWN,7,Good,Average,4,3
480159,/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0048/000480159.WAV,I'M NOT AT ALL FREED,7,Good,Average,4,3
530003,/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0053/000530003.WAV,MIKE LIKES THE ORANGE ONE,8,Good,Average,4,3
530006,/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0053/000530006.WAV,ANN CAN WE HAVE THE PEACH,9,Excellent,Good,5,4
530019,/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0053/000530019.WAV,LILLY CAN DRAW THE TIGER,8,Good,Excellent,4,5
530027,/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0053/000530027.WAV,THREE THREE NINE,7,Good,Average,4,3
530030,/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0053/000530030.WAV,SIX FOUR FIVE SIX,9,Excellent,Good,5,4
530037,/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0053/000530037.WAV,FOUR THREE FOUR TWO,9,Excellent,Good,5,4
530054,/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0053/000530054.WAV,ONE NINE FOUR,9,Excellent,Good,5,4
530055,/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0053/000530055.WAV,BOOTS MOUNTAINS TREES,9,Excellent,Good,5,4
530060,/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0053/000530060.WAV,SIR THREE PLANTING GRAFF,7,Good,Excellent,4,5
530063,/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0053/000530063.WAV,SANDWICH GIVE HIM,6,Fair,Bad,3,2
530076,/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0053/000530076.WAV,LAYLA WANTS HAVE SOME BISCUIT,8,Good,Excellent,4,5
530077,/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0053/000530077.WAV,JIM ATE A LITTLE CAKE,7,Good,Bad,4,2
530094,/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0053/000530094.WAV,LIYA LIKES THE OLD SAFE,8,Good,Average,4,3
530109,/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0053/000530109.WAV,MIKE CAN SEE THE TRAIN,8,Good,Excellent,4,5
530112,/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0053/000530112.WAV,THEN JAYME WALKS TO TOILET,7,Good,Average,4,3
530115,/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0053/000530115.WAV,THEN TOM WALKS TO ART ROOM,8,Good,Excellent,4,5
530145,/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0053/000530145.WAV,SHE LIKES THE BIG GREEN CITY LONDON,4,Poor,Good,2,4
530154,/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0053/000530154.WAV,I WILL GO TO MEN,8,Good,Average,4,3
530163,/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0053/000530163.WAV,WHERE DID THAT COME FROM,8,Good,Average,4,3
530174,/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0053/000530174.WAV,I ONLY WANT ONE,8,Good,Excellent,4,5
540001,/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0054/000540001.WAV,MIKE LOVE GARDEN,9,Excellent,Good,5,4
540004,/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0054/000540004.WAV,MARK LOVE PORTER,8,Good,Average,4,3
540014,/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0054/000540014.WAV,JAYME CAN SEE THE DOG,8,Good,Bad,4,2
540018,/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0054/000540018.WAV,BILLY IS GOING TO SEE FOX,8,Good,Average,4,3
540031,/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0054/000540031.WAV,SIX EIGHT FOUR SIX,9,Excellent,Good,5,4
540054,/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0054/000540054.WAV,FIVE FIVE NINE ONE,9,Excellent,Good,5,4
540055,/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0054/000540055.WAV,QUICK PAST PHOTO,8,Good,Excellent,4,5
540058,/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0054/000540058.WAV,SHANGHAI QUIRE TODAY ONCE TOMORROW,8,Good,Average,4,3
540062,/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0054/000540062.WAV,KANGAROO COWS TRACE,6,Fair,Good,3,4
540072,/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0054/000540072.WAV,PETER IS GOOD AT SKIN,9,Excellent,Good,5,4
540077,/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0054/000540077.WAV,BILLY AT A LITTLE JAM,8,Good,Average,4,3
540088,/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0054/000540088.WAV,LOOK AT BILLY'S FOOT,8,Good,Bad,4,2
540106,/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0054/000540106.WAV,LINDA CAN SEE THE SUN BOY,7,Good,Excellent,4,5
540111,/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0054/000540111.WAV,MARY CAN SEE THE THIEF,8,Good,Average,4,3
540117,/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0054/000540117.WAV,KATE WAS WALKING TO PARK,8,Good,Excellent,4,5
540123,/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0054/000540123.WAV,SANDY WAS WALKING TO TURN PAR,8,Good,Average,4,3
540127,/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0054/000540127.WAV,PETER IS DRAWING THE PASS,8,Good,Excellent,4,5
540130,/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0054/000540130.WAV,NILA LOVES NEWS,8,Good,Average,4,3
540156,/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0054/000540156.WAV,IT MUST BE HE,8,Good,Average,4,3
540163,/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0054/000540163.WAV,I AM IN THE GLASS,8,Good,Average,4,3
560016,/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0056/000560016.WAV,MARY IS GOING TO SEE MONKEY,8,Good,Excellent,4,5
560017,/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0056/000560017.WAV,LUCY IS GOING TO SEE HORSE,8,Good,Bad,4,2
560026,/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0056/000560026.WAV,ONE FOUR SEVEN ONE,6,Fair,Good,3,4
560030,/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0056/000560030.WAV,FIVE EIGHT THREE TWO,7,Good,Excellent,4,5
560033,/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0056/000560033.WAV,FIVE ONE SIX ONE,8,Good,Average,4,3
