audiofilepath,transcript,phoneme_scores
/path/to/wavs/000050078.wav,DOSE MIKE LIKE THE HAMBURGER,d/2.0 oʊ/1.6 s/2.0 m/1.6 aɪ/1.4 k/2.0 l/2.0 aɪ/2.0 k/2.0 ð/2.0 ə/2.0 h/2.0 æ/2.0 m/2.0 b/2.0 ɚ/2.0 ɡ/2.0 ɚ/2.0
/path/to/wavs/000050079.wav,ANNIE WANT HAVE SOME PRETTIES,æ/1.8 n/2.0 ɪ/2.0 w/2.0 ɑ/1.6 n/1.8 t/2.0 h/2.0 æ/2.0 v/1.8 s/2.0 ə/2.0 m/2.0 p/2.0 ɹ/2.0 ɪ/2.0 t/2.0 i/2.0 s/2.0
/path/to/wavs/000050083.wav,KATE'S GOT SOME GREY,k/2.0 ɛ/2.0 i/2.0 t/1.8 z/1.2 ɡ/2.0 ɑ/1.6 t/2.0 s/2.0 ə/2.0 m/2.0 ɡ/0.4 ɹ/0.4 eɪ/0.4
/path/to/wavs/000050095.wav,LOOK AT JOHN'S SWEATER,l/2.0 ʊ/2.0 k/2.0 æ/2.0 t/2.0 dʒ/2.0 ɑ/1.0 n/1.6 z/1.2 s/1.6 w/2.0 ɛ/2.0 t/2.0 ɚ/2.0
/path/to/wavs/000050099.wav,TIM HAS A BEAUTIFUL TELL,t/2.0 ɪ/1.8 m/2.0 h/2.0 æ/2.0 z/1.8 ə/2.0 b/2.0 j/2.0 uː/2.0 t/2.0 ɪ/2.0 f/2.0 l/2.0 t/2.0 ɛ/1.2 l/0.8
/path/to/wavs/000050100.wav,JIM LIKES YOUR BLUE SHORE,dʒ/2.0 ɪ/2.0 m/2.0 l/2.0 aɪ/2.0 k/2.0 s/2.0 j/2.0 ɚ/1.6 b/2.0 l/2.0 u/2.0 ʃ/2.0 ɔ/2.0 ɹ/1.8
/path/to/wavs/000050114.wav,ANNIE WENT WALKING THEM PARK,æ/2.0 n/2.0 ɪ/2.0 w/2.0 ɛ/1.6 n/1.6 t/2.0 w/2.0 ɔː/2.0 k/2.0 ɪ/2.0 ŋ/2.0 ð/2.0 ɛ/1.4 m/1.4 p/2.0 ɑ/2.0 ɹ/1.8 k/2.0
/path/to/wavs/000050118.wav,LAYLA CAN SEE THE HOMETOWN,l/1.2 eɪ/1.2 l/2.0 ɑ/2.0 k/2.0 æ/2.0 n/1.8 s/2.0 i/1.6 ð/2.0 ə/2.0 h/2.0 oʊ/2.0 m/2.0 t/2.0 aʊ/0.4 n/1.6
/path/to/wavs/000050122.wav,SO TINA WENT ON TO WASHROOM,s/2.0 oʊ/2.0 t/2.0 iː/2.0 n/2.0 ə/2.0 w/1.6 ɛ/0.4 n/0.8 t/1.8 ɑ/1.8 n/2.0 t/2.0 u/1.8 w/2.0 ɑː/1.2 ʃ/2.0 ɹ/2.0 u/2.0 m/2.0
/path/to/wavs/000050174.wav,ALL WITH HIM,ɔ/1.6 l/2.0 w/2.0 ɪ/2.0 θ/1.6 h/1.8 ɪ/2.0 m/2.0
/path/to/wavs/000050175.wav,GOOD JOB,ɡ/2.0 ʊ/1.2 d/2.0 dʒ/2.0 ɑ/1.4 b/2.0
/path/to/wavs/000060015.wav,JAYME IS GOING TO SEE HEN,dʒ/2.0 eɪ/2.0 m/2.0 i/2.0 ɪ/2.0 z/2.0 ɡ/2.0 oʊ/2.0 ɪ/2.0 ŋ/2.0 t/2.0 u/2.0 s/2.0 i/2.0 h/2.0 ɛ/2.0 n/2.0
/path/to/wavs/000060020.wav,DORA IS COME FROM JAPAN,d/2.0 ɔː/2.0 ɹ/2.0 ə/2.0 ɪ/2.0 z/2.0 k/2.0 ə/2.0 m/2.0 f/2.0 ɹ/2.0 ə/1.4 m/2.0 dʒ/2.0 ə/2.0 p/2.0 æ/2.0 n/2.0
/path/to/wavs/000060029.wav,SIX ONE SIX ZERO,s/2.0 ɪ/2.0 k/2.0 s/2.0 w/2.0 ə/2.0 n/2.0 s/2.0 ɪ/2.0 k/2.0 s/2.0 z/2.0 ɪ/1.6 ɹ/1.6 oʊ/2.0
/path/to/wavs/000060031.wav,FIVE TWO FOUR SEVEN,f/2.0 aɪ/2.0 v/2.0 t/2.0 u/2.0 f/2.0 ɔ/2.0 ɹ/2.0 s/2.0 ɛ/2.0 v/2.0 n/2.0
/path/to/wavs/000060049.wav,ZERO THREE FIVE,z/2.0 ɪ/1.6 ɹ/1.6 oʊ/2.0 θ/2.0 ɹ/2.0 i/2.0 f/2.0 aɪ/2.0 v/1.6
/path/to/wavs/000060056.wav,PHONE PARTS TICKETS,f/2.0 oʊ/2.0 n/2.0 p/2.0 ɑ/2.0 ɹ/2.0 t/2.0 s/2.0 t/2.0 ɪ/2.0 k/2.0 ɪ/2.0 t/2.0 s/2.0
/path/to/wavs/000060077.wav,ANN ATE A LITTLE DOG,æ/2.0 n/2.0 eɪ/2.0 t/2.0 ə/2.0 l/2.0 ɪ/2.0 t/2.0 l/2.0 d/2.0 ɔ/2.0 ɡ/2.0
/path/to/wavs/000060081.wav,DOES LAYLA LIKE THE JAM,d/2.0 ə/2.0 z/2.0 l/2.0 eɪ/2.0 l/2.0 ɑ/2.0 l/2.0 aɪ/2.0 k/2.0 ð/2.0 ə/2.0 dʒ/2.0 æ/2.0 m/2.0
/path/to/wavs/000060082.wav,KATE LIKES LAMB,k/2.0 ɛ/1.8 t/2.0 l/2.0 aɪ/2.0 k/2.0 s/2.0 l/2.0 æ/2.0 m/2.0
/path/to/wavs/000060083.wav,MARK GOT SOME NOODLES,m/2.0 ɑ/2.0 ɹ/2.0 k/2.0 ɡ/2.0 ɑ/1.8 t/2.0 s/2.0 ə/2.0 m/2.0 n/2.0 uː/2.0 d/2.0 l/2.0 z/1.6
/path/to/wavs/000060094.wav,TOM LIKES THE OLD SWEATER,t/2.0 ɑ/2.0 m/2.0 l/2.0 aɪ/2.0 k/2.0 s/2.0 ð/2.0 ə/2.0 oʊ/2.0 l/2.0 d/2.0 s/2.0 w/2.0 ɛ/1.8 t/1.6 ɚ/1.6
/path/to/wavs/000060102.wav,BOB NEEDS NEW BOOTS,b/2.0 ɑ/2.0 b/2.0 n/2.0 i/2.0 d/1.8 z/1.8 n/2.0 u/2.0 b/2.0 u/2.0 t/2.0 s/2.0
/path/to/wavs/000060106.wav,TOM CAN SEE THE MOTOR CYCLE,t/2.0 ɑ/2.0 m/2.0 k/2.0 æ/2.0 n/2.0 s/2.0 i/2.0 ð/2.0 ə/2.0 m/2.0 oʊ/2.0 t/2.0 ɚ/2.0 s/2.0 aɪ/2.0 k/2.0 l/2.0
/path/to/wavs/000060111.wav,HE LEFT THE FRUIT STAND,h/1.6 i/1.8 l/2.0 ɛ/2.0 f/2.0 t/2.0 ð/2.0 ə/2.0 f/2.0 ɹ/2.0 u/2.0 t/2.0 s/2.0 t/2.0 æ/2.0 n/2.0 d/2.0
/path/to/wavs/000060113.wav,LET'S GO TO THE GYM,l/2.0 ɛ/2.0 t/2.0 s/2.0 ɡ/2.0 oʊ/2.0 t/2.0 u/2.0 ð/2.0 ə/2.0 dʒ/2.0 ɪ/2.0 m/2.0
/path/to/wavs/000060116.wav,SO MARK WHEN TO THE PET SHOP,s/2.0 oʊ/2.0 m/2.0 ɑ/2.0 ɹ/2.0 k/2.0 w/2.0 ɛ/2.0 n/2.0 t/2.0 u/2.0 ð/2.0 ə/2.0 p/2.0 ɛ/2.0 t/2.0 ʃ/2.0 ɑ/2.0 p/2.0
/path/to/wavs/000060124.wav,SO ALICE WENT ON TO VILLAGE,s/2.0 oʊ/2.0 æ/2.0 l/2.0 ɪ/2.0 s/2.0 w/2.0 ɛ/2.0 n/2.0 t/2.0 ɑ/1.8 n/2.0 t/2.0 u/2.0 v/2.0 ɪ/2.0 l/2.0 ɪ/2.0 dʒ/2.0
/path/to/wavs/000060130.wav,NO THAT'S TOMATO,n/2.0 oʊ/2.0 ð/1.6 æ/2.0 t/2.0 s/2.0 t/2.0 ə/2.0 m/2.0 eɪ/2.0 t/2.0 oʊ/2.0
/path/to/wavs/000060136.wav,I'M NOT A ACTOR,aɪ/2.0 m/2.0 n/2.0 ɑ/1.8 t/2.0 ə/2.0 æ/2.0 k/2.0 t/2.0 ɚ/2.0
/path/to/wavs/000060153.wav,WHAT LOVELY CLEAN TEETH,w/2.0 ə/2.0 t/2.0 l/2.0 ʌ/2.0 v/2.0 l/2.0 i/2.0 k/2.0 l/2.0 i/2.0 n/2.0 t/2.0 i/2.0 θ/1.8
/path/to/wavs/000260001.wav,LAYLA LOVE BROWN,l/2.0 eɪ/0.4 l/2.0 ɑ/2.0 l/2.0 ə/2.0 v/1.0 b/2.0 ɹ/2.0 aʊ/1.8 n/2.0
/path/to/wavs/000260011.wav,ANDY CAN SEE THE HEN,æ/1.8 n/2.0 d/2.0 ɪ/2.0 k/2.0 æ/1.8 n/2.0 s/2.0 i/2.0 ð/1.8 ə/2.0 h/2.0 ɛ/2.0 n/2.0
/path/to/wavs/000260015.wav,JOHN IS GOING TO SEE COW,dʒ/2.0 ə/2.0 n/2.0 ɪ/2.0 z/1.8 ɡ/2.0 oʊ/2.0 ɪ/2.0 ŋ/2.0 t/2.0 u/2.0 s/2.0 i/2.0 k/2.0 aʊ/2.0
/path/to/wavs/000260032.wav,ONE ONE ZERO EIGHT,w/2.0 ə/1.8 n/2.0 w/2.0 ə/1.8 n/2.0 z/2.0 ɪ/1.4 ɚ/1.4 oʊ/2.0 eɪ/2.0 t/2.0
/path/to/wavs/000260033.wav,THREE ONE SEVEN NINE,θ/1.8 ɹ/2.0 i/2.0 w/2.0 ə/1.8 n/2.0 s/2.0 ɛ/2.0 v/2.0 n/2.0 n/2.0 aɪ/2.0 n/2.0
/path/to/wavs/000260039.wav,EIGHT ZERO SIX TWO,eɪ/2.0 t/2.0 z/2.0 ɪ/1.6 ɚ/1.6 oʊ/2.0 s/2.0 ɪ/2.0 k/2.0 s/2.0 t/2.0 u/2.0
/path/to/wavs/000260048.wav,THREE ZERO EIGHT SEVEN,θ/1.8 ɹ/2.0 i/2.0 z/2.0 ɪ/1.4 ɚ/1.4 oʊ/2.0 eɪ/2.0 t/2.0 s/2.0 ɛ/2.0 v/2.0 n/2.0
/path/to/wavs/000260050.wav,ZERO EIGHT THREE ONE,z/2.0 ɪ/2.0 ɚ/1.4 oʊ/2.0 eɪ/2.0 t/2.0 θ/1.8 ɹ/2.0 i/2.0 w/2.0 ə/2.0 n/2.0
/path/to/wavs/000260052.wav,SIX EIGHT SIX SEVEN,s/2.0 ɪ/2.0 k/2.0 s/2.0 eɪ/2.0 t/2.0 s/2.0 ɪ/2.0 k/2.0 s/2.0 s/2.0 ɛ/2.0 v/2.0 n/2.0
/path/to/wavs/000260069.wav,TEDDY GIVES UP SHOOTING,t/2.0 ɛ/0.2 d/2.0 i/2.0 ɡ/2.0 ɪ/2.0 v/2.0 z/1.6 ə/2.0 p/2.0 ʃ/2.0 uː/2.0 t/2.0 ɪ/2.0 ŋ/2.0
/path/to/wavs/000260075.wav,HE LIKES RACING,h/2.0 i/2.0 l/2.0 aɪ/2.0 k/2.0 s/2.0 ɹ/2.0 eɪ/2.0 s/2.0 ɪ/2.0 ŋ/2.0
/path/to/wavs/000260091.wav,DORA LIKES YOUR RED JEANS,d/2.0 ɔː/2.0 ɹ/2.0 ə/1.4 l/2.0 aɪ/2.0 k/2.0 s/1.6 j/2.0 ʊ/1.8 ə/1.8 ɹ/2.0 ɛ/2.0 d/2.0 dʒ/2.0 i/2.0 n/2.0 z/1.6
/path/to/wavs/000260095.wav,BOB LOVES THE NEW CLOTH,b/2.0 ə/1.8 b/2.0 l/2.0 ə/2.0 v/2.0 z/1.6 ð/2.0 ə/2.0 n/2.0 j/2.0 u/2.0 k/2.0 l/2.0 ə/1.0 θ/2.0
/path/to/wavs/000260096.wav,JOHN NEEDS NEW T SHIRT,dʒ/2.0 ə/2.0 n/2.0 n/2.0 i/2.0 d/2.0 z/2.0 n/2.0 j/2.0 u/2.0 t/2.0 i/2.0 ʃ/2.0 ɚ/2.0 t/2.0
/path/to/wavs/000260112.wav,THEN LILLY WALKS TO MUSIC ROOM,ð/2.0 ɛ/2.0 n/2.0 l/2.0 ɪ/2.0 l/2.0 i/2.0 w/2.0 ɔ/1.8 k/2.0 s/2.0 t/2.0 u/2.0 m/2.0 j/2.0 uː/2.0 z/2.0 ɪ/2.0 k/2.0 ɹ/2.0 ʊ/2.0 m/2.0
/path/to/wavs/000260115.wav,THEN TIM WALKS TO THEM PARK,ð/1.6 ɛ/2.0 n/2.0 t/2.0 ɪ/2.0 m/2.0 w/2.0 ɔ/2.0 k/2.0 s/2.0 t/2.0 u/2.0 ð/2.0 ɛ/1.2 m/2.0 p/2.0 ɑ/2.0 ɹ/2.0 k/2.0
/path/to/wavs/000260121.wav,THEN MANDY WALKS TO RESTROOM,ð/2.0 ɛ/2.0 n/2.0 m/2.0 æ/2.0 n/2.0 d/2.0 i/2.0 w/2.0 ɔ/1.8 k/2.0 s/2.0 t/2.0 u/2.0 ɹ/2.0 ɛ/2.0 s/2.0 t/2.0 ɹ/2.0 ʊ/2.0 m/2.0
/path/to/wavs/000260126.wav,DO YOU WANT THE PEA,d/2.0 ʊ/2.0 j/2.0 u/2.0 w/2.0 ɑ/2.0 n/2.0 t/2.0 ð/2.0 ə/2.0 p/2.0 i/2.0
/path/to/wavs/000260133.wav,ANDY GOT THE MUSHROOM,æ/2.0 n/2.0 d/2.0 ɪ/2.0 ɡ/2.0 ə/2.0 t/1.8 ð/1.6 ə/2.0 m/2.0 ʌ/2.0 ʃ/2.0 ɹ/2.0 ʊ/2.0 m/2.0
/path/to/wavs/000260166.wav,NOW FOR THE PARTY,n/2.0 aʊ/2.0 f/2.0 ɔ/2.0 ɹ/2.0 ð/1.6 ə/2.0 p/2.0 ɑː/2.0 ɹ/2.0 t/2.0 i/2.0
/path/to/wavs/000360013.wav,IT'S JUST SO HARD TO PICTURE,ɪ/2.0 t/2.0 s/2.0 dʒ/2.0 ə/2.0 s/2.0 t/2.0 s/2.0 oʊ/2.0 h/2.0 ɑ/2.0 ɹ/2.0 d/2.0 t/2.0 u/2.0 p/2.0 ɪ/2.0 k/2.0 tʃ/2.0 ɚ/2.0
/path/to/wavs/000360034.wav,WE SPEAK OUT WHEN WE FEEL WE SHOULD SPEAK OUT,w/2.0 i/2.0 s/2.0 p/2.0 i/2.0 k/2.0 aʊ/1.8 t/2.0 w/2.0 ɛ/2.0 n/2.0 w/2.0 i/2.0 f/2.0 i/1.8 l/2.0 w/2.0 i/2.0 ʃ/2.0 ʊ/2.0 d/2.0 s/2.0 p/2.0 i/2.0 k/2.0 aʊ/1.8 t/2.0
/path/to/wavs/000360036.wav,I COULD DO WITH A BREAK,aɪ/2.0 k/2.0 ʊ/2.0 d/2.0 d/2.0 ʊ/1.6 w/2.0 ɪ/2.0 ð/2.0 ə/2.0 b/2.0 ɹ/2.0 eɪ/2.0 k/2.0
/path/to/wavs/000360132.wav,IT IS ALWAYS SO NICE TO SEE YOU,ɪ/2.0 t/2.0 ɪ/2.0 z/2.0 ɔː/2.0 l/2.0 w/2.0 eɪ/2.0 z/2.0 s/2.0 oʊ/2.0 n/2.0 aɪ/2.0 s/2.0 t/2.0 u/2.0 s/2.0 i/2.0 j/2.0 u/1.8
/path/to/wavs/000360133.wav,UNFORTUNATELY NO ONE IS ALLOW TO SAY,ə/2.0 n/2.0 f/2.0 ɔː/2.0 tʃ/2.0 ə/2.0 n/2.0 ə/2.0 t/2.0 l/2.0 i/2.0 n/2.0 oʊ/2.0 w/2.0 ə/2.0 n/2.0 ɪ/2.0 z/1.8 ə/2.0 l/2.0 aʊ/1.8 t/2.0 u/2.0 s/2.0 eɪ/2.0
/path/to/wavs/000360161.wav,ALMOST TIME FOR A HAIRCUT,ɔː/2.0 l/2.0 m/2.0 oʊ/2.0 s/2.0 t/1.8 t/2.0 aɪ/2.0 m/2.0 f/2.0 ɔ/2.0 ə/2.0 h/2.0 ɛ/1.8 ɹ/1.8 k/2.0 ə/2.0 t/2.0
/path/to/wavs/000360190.wav,SO YOU WANT TO BE MORE PRODUCTIVE,s/2.0 oʊ/2.0 j/2.0 u/2.0 w/2.0 ɑ/2.0 n/2.0 t/1.8 t/2.0 u/2.0 b/2.0 i/1.8 m/2.0 ɔ/2.0 p/2.0 ɹ/2.0 ə/1.8 d/2.0 ʌ/2.0 k/2.0 t/2.0 ɪ/2.0 v/2.0
/path/to/wavs/000360210.wav,STARTING CAN NOT BE BETTER THAN THIS,s/2.0 t/2.0 ɑː/2.0 ɹ/2.0 t/2.0 ɪ/2.0 ŋ/2.0 k/2.0 æ/2.0 n/2.0 n/2.0 ə/2.0 t/2.0 b/2.0 i/2.0 b/2.0 ɛ/2.0 t/2.0 ɚ/2.0 ð/2.0 æ/2.0 n/2.0 ð/2.0 ɪ/2.0 s/2.0
/path/to/wavs/000360223.wav,I KEEP IT TO BE AMUSED BY THE STUPIDITY,aɪ/1.8 k/2.0 i/2.0 p/2.0 ɪ/2.0 t/2.0 t/2.0 u/2.0 b/2.0 i/2.0 ə/2.0 m/0.8 j/1.6 uː/1.6 z/0.8 d/2.0 b/2.0 aɪ/2.0 ð/2.0 ə/2.0 s/2.0 t/2.0 j/1.8 u/2.0 p/2.0 ɪ/2.0 d/2.0 ə/2.0 t/2.0 i/2.0
/path/to/wavs/000360241.wav,AFTER THAT I BE READY TO GO,ɑː/2.0 f/2.0 t/2.0 ə/2.0 ð/1.6 æ/2.0 t/2.0 aɪ/2.0 b/2.0 i/2.0 ɹ/2.0 ɛ/2.0 d/2.0 i/2.0 t/2.0 u/2.0 ɡ/2.0 oʊ/1.8
/path/to/wavs/000360264.wav,I THANK YOU FOR YOUR SYMPATHY BECAUSE IT COUNTS,aɪ/2.0 θ/1.4 æ/2.0 ŋ/2.0 k/2.0 j/2.0 u/2.0 f/2.0 ɔ/2.0 j/2.0 ɔ/2.0 s/2.0 ɪ/2.0 m/2.0 p/1.6 ə/1.6 θ/1.6 i/2.0 b/2.0 ɪ/2.0 k/2.0 ʌ/2.0 z/1.8 ɪ/2.0 t/2.0 k/2.0 aʊ/1.8 n/2.0 t/2.0 s/2.0
/path/to/wavs/000360283.wav,OFF THE CHAIN I BET,ə/2.0 f/2.0 ð/1.4 ə/2.0 tʃ/2.0 eɪ/1.8 n/2.0 aɪ/2.0 b/2.0 ɛ/1.0 t/2.0
/path/to/wavs/000360313.wav,HE NODDED HIS HEAD AND SMILED,h/2.0 i/2.0 n/2.0 ʌ/0.6 d/2.0 ɪ/2.0 d/2.0 h/2.0 ɪ/2.0 z/1.6 h/2.0 ɛ/1.8 d/2.0 æ/2.0 n/2.0 d/2.0 s/2.0 m/2.0 aɪ/1.6 l/2.0 d/2.0
/path/to/wavs/000360314.wav,BUT TELL ME THE TRUTH,b/2.0 ə/2.0 t/2.0 t/2.0 ɛ/2.0 l/2.0 m/2.0 i/2.0 ð/2.0 ə/2.0 t/2.0 ɹ/2.0 u/2.0 θ/2.0
/path/to/wavs/000360332.wav,THE FIRST QUESTION WAS AN OBVIOUS ONE,ð/2.0 ə/2.0 f/2.0 ɚ/2.0 s/2.0 t/2.0 k/2.0 w/2.0 ɛ/2.0 s/2.0 tʃ/2.0 ə/2.0 n/2.0 w/2.0 ə/1.8 z/1.8 æ/2.0 n/2.0 ʌ/2.0 b/2.0 v/1.2 ɪ/1.2 ə/1.2 s/2.0 w/2.0 ə/2.0 n/2.0
/path/to/wavs/000360334.wav,THE SHOCK WAS TOO MUCH FOR HIM,ð/2.0 ə/2.0 ʃ/2.0 ə/2.0 k/2.0 w/2.0 ə/2.0 z/1.8 t/2.0 u/2.0 m/2.0 ə/2.0 tʃ/2.0 f/2.0 ɔ/2.0 h/2.0 ɪ/2.0 m/2.0
/path/to/wavs/000360339.wav,HE KNOWS HE'S ABOUT TO GET INTO FIGHT,h/2.0 i/2.0 n/2.0 oʊ/2.0 z/1.6 h/2.0 i/2.0 z/1.6 ə/2.0 b/2.0 aʊ/1.8 t/2.0 t/2.0 u/2.0 ɡ/1.6 ɛ/2.0 t/2.0 ɪ/2.0 n/2.0 t/2.0 u/2.0 f/2.0 aɪ/2.0 t/2.0
/path/to/wavs/000360343.wav,HE WAS ALWAYS READY TO DO ANYTHING WHATEVER,h/2.0 i/2.0 w/2.0 ə/1.8 z/2.0 ɔː/2.0 l/2.0 w/2.0 eɪ/2.0 z/1.8 ɹ/2.0 ɛ/2.0 d/2.0 i/2.0 t/2.0 u/2.0 d/2.0 ʊ/2.0 ɛ/2.0 n/2.0 i/2.0 θ/1.6 ɪ/2.0 ŋ/2.0 w/2.0 ə/1.8 t/2.0 ɛ/2.0 v/1.4 ɚ/2.0
