audio_path,transcript,chosen,rejected,dpo_weight
/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0001/000010115.WAV,LET'S GO TO THE RESTROOM,l/Excellent ɛ/Excellent t/Excellent s/Excellent ɡ/Excellent oʊ/Excellent t/Excellent u/Excellent ð/Excellent ə/Excellent ɹ/Excellent ɛ/Excellent s/Excellent t/Excellent ɹ/Excellent u/Excellent m/Good,l/Good ɛ/Good t/Good s/Good ɡ/Good oʊ/Good t/Good u/Good ð/Good ə/Good ɹ/Good ɛ/Good s/Good t/Good ɹ/Good u/Good m/Excellent,1.0
/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0001/000010121.WAV,THEN MIKE WALKS TO COFFEE,ð/Excellent ɛ/Excellent n/Excellent m/Excellent aɪ/Excellent k/Excellent w/Excellent ɔ/Good k/Excellent s/Excellent t/Excellent u/Excellent k/Excellent ɔː/Average f/Good i/Good,ð/Good ɛ/Good n/Good m/Good aɪ/Good k/Good w/Good ɔ/Excellent k/Good s/Good t/Good u/Good k/Good ɔː/Good f/Average i/Average,1.0
/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0001/000010122.WAV,SO MARY WENT ON TO STUDY,s/Excellent oʊ/Excellent m/Excellent æ/Excellent ɹ/Excellent ɪ/Excellent w/Excellent ɛ/Excellent n/Excellent t/Excellent ɑ/Excellent n/Excellent t/Excellent u/Excellent s/Excellent t/Excellent ʌ/Good d/Excellent i/Excellent,s/Good oʊ/Good m/Good æ/Good ɹ/Good ɪ/Good w/Good ɛ/Good n/Good t/Good ɑ/Good n/Good t/Good u/Good s/Good t/Good ʌ/Excellent d/Good i/Good,1.0
/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0001/000010133.WAV,KATE GOT THE TOMATO,k/Excellent ɛ/Good t/Good ɡ/Excellent ɑ/Good t/Excellent ð/Excellent ə/Excellent t/Excellent ə/Excellent m/Excellent eɪ/Average t/Good oʊ/Excellent,k/Good ɛ/Average t/Excellent ɡ/Good ɑ/Excellent t/Good ð/Good ə/Good t/Good ə/Good m/Good eɪ/Bad t/Average oʊ/Good,1.0
/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0001/000010135.WAV,TINA LOVES EGGPLANT,t/Excellent iː/Excellent n/Excellent ə/Excellent l/Excellent ə/Excellent v/Excellent z/Good ɛ/Good ɡ/Excellent p/Excellent l/Excellent æ/Excellent n/Excellent t/Excellent,t/Good iː/Good n/Good ə/Good l/Good ə/Good v/Good z/Average ɛ/Excellent ɡ/Good p/Good l/Good æ/Good n/Good t/Good,1.0
/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0001/000010140.WAV,DORA IS NOT A CLEANER,d/Excellent ɔː/Good ɹ/Excellent ə/Excellent ɪ/Excellent z/Excellent n/Excellent ɑ/Good t/Excellent ə/Excellent k/Excellent l/Excellent iː/Excellent n/Excellent ɚ/Excellent,d/Good ɔː/Average ɹ/Good ə/Good ɪ/Good z/Good n/Good ɑ/Average t/Good ə/Good k/Good l/Good iː/Good n/Good ɚ/Good,1.0
/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0001/000010145.WAV,MARK LIVED IN NEW YORK,m/Excellent ɑ/Excellent ɹ/Good k/Good l/Excellent ɪ/Excellent v/Excellent d/Excellent ɪ/Excellent n/Excellent n/Excellent u/Excellent j/Excellent ɔ/Excellent k/Excellent,m/Good ɑ/Good ɹ/Average k/Average l/Good ɪ/Good v/Good d/Good ɪ/Good n/Good n/Good u/Good j/Good ɔ/Good k/Good,1.0
/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0001/000010149.WAV,BOB LIVES IN CAIRO NOW,b/Excellent ɑ/Average b/Excellent l/Excellent ɪ/Excellent v/Excellent z/Good ɪ/Excellent n/Excellent k/Excellent aɪ/Good ɹ/Good oʊ/Average n/Excellent aʊ/Excellent,b/Good ɑ/Good b/Good l/Good ɪ/Good v/Good z/Average ɪ/Good n/Good k/Good aɪ/Excellent ɹ/Excellent oʊ/Bad n/Good aʊ/Good,1.0
/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0001/000010168.WAV,BYE,b/Excellent aɪ/Excellent,b/Good aɪ/Good,1.0
/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0001/000010173.WAV,TREES,t/Excellent ɹ/Excellent i/Excellent z/Average,t/Good ɹ/Good i/Good z/Good,1.0
/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0005/000050003.WAV,MIKE LIKES THE WHITE ONE,m/Excellent aɪ/Excellent k/Excellent l/Excellent aɪ/Excellent k/Excellent s/Excellent ð/Good ə/Excellent w/Excellent aɪ/Excellent t/Excellent w/Excellent ə/Excellent n/Excellent,m/Good aɪ/Good k/Good l/Good aɪ/Good k/Good s/Good ð/Average ə/Good w/Good aɪ/Good t/Good w/Good ə/Good n/Good,1.0
/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0005/000050010.WAV,ITS NAME IS SAY,ɪ/Excellent t/Excellent s/Excellent n/Excellent eɪ/Excellent m/Excellent ɪ/Bad z/Average s/Excellent eɪ/Average,ɪ/Good t/Good s/Good n/Good eɪ/Good m/Good ɪ/Worst z/Good s/Good eɪ/Good,1.0
/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0005/000050024.WAV,BILLY LOVES AMERICA,b/Excellent ɪ/Excellent l/Excellent i/Excellent l/Excellent ə/Excellent v/Good z/Average ə/Excellent m/Excellent ɛ/Excellent ɹ/Excellent ɪ/Excellent k/Average ə/Excellent,b/Good ɪ/Good l/Good i/Good l/Good ə/Good v/Average z/Good ə/Good m/Good ɛ/Good ɹ/Good ɪ/Good k/Good ə/Good,1.0
/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0005/000050028.WAV,TWO TWO EIGHT SEVEN,t/Excellent u/Good t/Excellent u/Good eɪ/Excellent t/Excellent s/Excellent ɛ/Excellent v/Good n/Excellent,t/Good u/Average t/Good u/Excellent eɪ/Good t/Good s/Good ɛ/Good v/Average n/Good,1.0
/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0005/000050038.WAV,FOUR FIVE FOUR SEVEN,f/Excellent ɔ/Excellent ɹ/Good f/Excellent aɪ/Excellent v/Good f/Excellent ɔ/Excellent ɹ/Good s/Excellent ɛ/Good v/Good n/Excellent,f/Good ɔ/Good ɹ/Average f/Good aɪ/Good v/Average f/Good ɔ/Good ɹ/Average s/Good ɛ/Average v/Excellent n/Good,1.0
/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0005/000050040.WAV,FIVE THREE NINE ZERO,f/Excellent aɪ/Excellent v/Good θ/Good ɹ/Excellent i/Good n/Excellent aɪ/Excellent n/Excellent z/Excellent ɪ/Good ʌ/Good oʊ/Excellent,f/Good aɪ/Good v/Excellent θ/Excellent ɹ/Good i/Average n/Good aɪ/Good n/Good z/Good ɪ/Average ʌ/Average oʊ/Good,1.0
/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0005/000050047.WAV,SIX FIVE THREE,s/Excellent ɪ/Excellent k/Excellent s/Excellent f/Excellent aɪ/Excellent v/Good θ/Average ɹ/Excellent i/Excellent,s/Good ɪ/Good k/Good s/Good f/Good aɪ/Good v/Excellent θ/Bad ɹ/Good i/Good,1.0
/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0005/000050049.WAV,TWO FIVE EIGHT,t/Excellent u/Excellent f/Excellent aɪ/Excellent v/Average eɪ/Excellent t/Good,t/Good u/Good f/Good aɪ/Good v/Good eɪ/Good t/Average,1.0
/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0005/000050055.WAV,WE LESS MEAT,w/Excellent i/Excellent l/Excellent ɛ/Good s/Excellent m/Excellent i/Excellent t/Excellent,w/Good i/Good l/Good ɛ/Excellent s/Good m/Good i/Good t/Good,1.0
/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0005/000050078.WAV,DOSE MIKE LIKE THE HAMBURGER,d/Excellent oʊ/Good s/Excellent m/Good aɪ/Average k/Excellent l/Excellent aɪ/Excellent k/Excellent ð/Excellent ə/Excellent h/Excellent æ/Excellent m/Excellent b/Excellent ɚ/Excellent ɡ/Excellent ɚ/Excellent,d/Good oʊ/Excellent s/Good m/Excellent aɪ/Good k/Good l/Good aɪ/Good k/Good ð/Good ə/Good h/Good æ/Good m/Good b/Good ɚ/Good ɡ/Good ɚ/Good,1.0
/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0005/000050079.WAV,ANNIE WANT HAVE SOME PRETTIES,æ/Good n/Excellent ɪ/Excellent w/Excellent ɑ/Good n/Good t/Excellent h/Excellent æ/Excellent v/Good s/Excellent ə/Excellent m/Excellent p/Excellent ɹ/Excellent ɪ/Excellent t/Excellent i/Excellent s/Excellent,æ/Excellent n/Good ɪ/Good w/Good ɑ/Average n/Average t/Good h/Good æ/Good v/Excellent s/Good ə/Good m/Good p/Good ɹ/Good ɪ/Good t/Good i/Good s/Good,1.0
/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0005/000050083.WAV,KATE'S GOT SOME GREY,k/Excellent ɛ/Excellent i/Excellent t/Good z/Average ɡ/Excellent ɑ/Good t/Excellent s/Excellent ə/Excellent m/Excellent ɡ/Worst ɹ/Worst eɪ/Worst,k/Good ɛ/Good i/Good t/Average z/Good ɡ/Good ɑ/Average t/Good s/Good ə/Good m/Good ɡ/Bad ɹ/Bad eɪ/Bad,1.0
/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0005/000050095.WAV,LOOK AT JOHN'S SWEATER,l/Excellent ʊ/Excellent k/Excellent æ/Excellent t/Excellent dʒ/Excellent ɑ/Average n/Good z/Average s/Good w/Excellent ɛ/Excellent t/Excellent ɚ/Excellent,l/Good ʊ/Good k/Good æ/Good t/Good dʒ/Good ɑ/Bad n/Average z/Good s/Excellent w/Good ɛ/Good t/Good ɚ/Good,1.0
/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0005/000050099.WAV,TIM HAS A BEAUTIFUL TELL,t/Excellent ɪ/Good m/Excellent h/Excellent æ/Excellent z/Good ə/Excellent b/Excellent j/Excellent uː/Excellent t/Excellent ɪ/Excellent f/Excellent l/Excellent t/Excellent ɛ/Average l/Bad,t/Good ɪ/Excellent m/Good h/Good æ/Good z/Excellent ə/Good b/Good j/Good uː/Good t/Good ɪ/Good f/Good l/Good t/Good ɛ/Bad l/Worst,1.0
/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0005/000050100.WAV,JIM LIKES YOUR BLUE SHORE,dʒ/Excellent ɪ/Excellent m/Excellent l/Excellent aɪ/Excellent k/Excellent s/Excellent j/Excellent ɚ/Good b/Excellent l/Excellent u/Excellent ʃ/Excellent ɔ/Excellent ɹ/Good,dʒ/Good ɪ/Good m/Good l/Good aɪ/Good k/Good s/Good j/Good ɚ/Excellent b/Good l/Good u/Good ʃ/Good ɔ/Good ɹ/Excellent,1.0
/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0005/000050114.WAV,ANNIE WENT WALKING THEM PARK,æ/Excellent n/Excellent ɪ/Excellent w/Excellent ɛ/Good n/Good t/Excellent w/Excellent ɔː/Excellent k/Excellent ɪ/Excellent ŋ/Excellent ð/Excellent ɛ/Average m/Average p/Excellent ɑ/Excellent ɹ/Good k/Excellent,æ/Good n/Good ɪ/Good w/Good ɛ/Average n/Excellent t/Good w/Good ɔː/Good k/Good ɪ/Good ŋ/Good ð/Good ɛ/Good m/Good p/Good ɑ/Good ɹ/Excellent k/Good,1.0
/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0005/000050118.WAV,LAYLA CAN SEE THE HOMETOWN,l/Average eɪ/Average l/Excellent ɑ/Excellent k/Excellent æ/Excellent n/Good s/Excellent i/Good ð/Excellent ə/Excellent h/Excellent oʊ/Excellent m/Excellent t/Excellent aʊ/Worst n/Good,l/Bad eɪ/Bad l/Good ɑ/Good k/Good æ/Good n/Excellent s/Good i/Excellent ð/Good ə/Good h/Good oʊ/Good m/Good t/Good aʊ/Bad n/Excellent,1.0
/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0005/000050122.WAV,SO TINA WENT ON TO WASHROOM,s/Excellent oʊ/Excellent t/Excellent iː/Excellent n/Excellent ə/Excellent w/Good ɛ/Worst n/Bad t/Good ɑ/Good n/Excellent t/Excellent u/Good w/Excellent ɑː/Average ʃ/Excellent ɹ/Excellent u/Excellent m/Excellent,s/Good oʊ/Good t/Good iː/Good n/Good ə/Good w/Excellent ɛ/Bad n/Average t/Average ɑ/Average n/Good t/Good u/Average w/Good ɑː/Good ʃ/Good ɹ/Good u/Good m/Good,1.0
/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0005/000050174.WAV,ALL WITH HIM,ɔ/Good l/Excellent w/Excellent ɪ/Excellent θ/Good h/Good ɪ/Excellent m/Excellent,ɔ/Average l/Good w/Good ɪ/Good θ/Excellent h/Excellent ɪ/Good m/Good,1.0
/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0005/000050175.WAV,GOOD JOB,ɡ/Excellent ʊ/Average d/Excellent dʒ/Excellent ɑ/Average b/Excellent,ɡ/Good ʊ/Good d/Good dʒ/Good ɑ/Good b/Good,1.0
/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0006/000060015.WAV,JAYME IS GOING TO SEE HEN,dʒ/Excellent eɪ/Excellent m/Excellent i/Excellent ɪ/Excellent z/Excellent ɡ/Excellent oʊ/Excellent ɪ/Excellent ŋ/Excellent t/Excellent u/Excellent s/Excellent i/Excellent h/Excellent ɛ/Excellent n/Excellent,dʒ/Good eɪ/Good m/Good i/Good ɪ/Good z/Good ɡ/Good oʊ/Good ɪ/Good ŋ/Good t/Good u/Good s/Good i/Good h/Good ɛ/Good n/Good,1.0
/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0006/000060020.WAV,DORA IS COME FROM JAPAN,d/Excellent ɔː/Excellent ɹ/Excellent ə/Excellent ɪ/Excellent z/Excellent k/Excellent ə/Excellent m/Excellent f/Excellent ɹ/Excellent ə/Average m/Excellent dʒ/Excellent ə/Excellent p/Excellent æ/Excellent n/Excellent,d/Good ɔː/Good ɹ/Good ə/Good ɪ/Good z/Good k/Good ə/Good m/Good f/Good ɹ/Good ə/Bad m/Good dʒ/Good ə/Good p/Good æ/Good n/Good,1.0
/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0006/000060029.WAV,SIX ONE SIX ZERO,s/Excellent ɪ/Excellent k/Excellent s/Excellent w/Excellent ə/Excellent n/Excellent s/Excellent ɪ/Excellent k/Excellent s/Excellent z/Excellent ɪ/Good ɹ/Good oʊ/Excellent,s/Good ɪ/Good k/Good s/Good w/Good ə/Good n/Good s/Good ɪ/Good k/Good s/Good z/Good ɪ/Average ɹ/Average oʊ/Good,1.0
/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0006/000060031.WAV,FIVE TWO FOUR SEVEN,f/Excellent aɪ/Excellent v/Excellent t/Excellent u/Excellent f/Excellent ɔ/Excellent ɹ/Excellent s/Excellent ɛ/Excellent v/Excellent n/Excellent,f/Good aɪ/Good v/Good t/Good u/Good f/Good ɔ/Good ɹ/Good s/Good ɛ/Good v/Good n/Good,1.0
/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0006/000060049.WAV,ZERO THREE FIVE,z/Excellent ɪ/Good ɹ/Good oʊ/Excellent θ/Excellent ɹ/Excellent i/Excellent f/Excellent aɪ/Excellent v/Good,z/Good ɪ/Excellent ɹ/Excellent oʊ/Good θ/Good ɹ/Good i/Good f/Good aɪ/Good v/Excellent,1.0
/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0006/000060056.WAV,PHONE PARTS TICKETS,f/Excellent oʊ/Excellent n/Excellent p/Excellent ɑ/Excellent ɹ/Excellent t/Excellent s/Excellent t/Excellent ɪ/Excellent k/Excellent ɪ/Excellent t/Excellent s/Excellent,f/Good oʊ/Good n/Good p/Good ɑ/Good ɹ/Good t/Good s/Good t/Good ɪ/Good k/Good ɪ/Good t/Good s/Good,1.0
/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0006/000060077.WAV,ANN ATE A LITTLE DOG,æ/Excellent n/Excellent eɪ/Excellent t/Excellent ə/Excellent l/Excellent ɪ/Excellent t/Excellent l/Excellent d/Excellent ɔ/Excellent ɡ/Excellent,æ/Good n/Good eɪ/Good t/Good ə/Good l/Good ɪ/Good t/Good l/Good d/Good ɔ/Good ɡ/Good,1.0
/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0006/000060081.WAV,DOES LAYLA LIKE THE JAM,d/Excellent ə/Excellent z/Excellent l/Excellent eɪ/Excellent l/Excellent ɑ/Excellent l/Excellent aɪ/Excellent k/Excellent ð/Excellent ə/Excellent dʒ/Excellent æ/Excellent m/Excellent,d/Good ə/Good z/Good l/Good eɪ/Good l/Good ɑ/Good l/Good aɪ/Good k/Good ð/Good ə/Good dʒ/Good æ/Good m/Good,1.0
/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0006/000060082.WAV,KATE LIKES LAMB,k/Excellent ɛ/Good t/Excellent l/Excellent aɪ/Excellent k/Excellent s/Excellent l/Excellent æ/Excellent m/Excellent,k/Good ɛ/Excellent t/Good l/Good aɪ/Good k/Good s/Good l/Good æ/Good m/Good,1.0
/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0006/000060083.WAV,MARK GOT SOME NOODLES,m/Excellent ɑ/Excellent ɹ/Excellent k/Excellent ɡ/Excellent ɑ/Good t/Excellent s/Excellent ə/Excellent m/Excellent n/Excellent uː/Excellent d/Excellent l/Excellent z/Good,m/Good ɑ/Good ɹ/Good k/Good ɡ/Good ɑ/Excellent t/Good s/Good ə/Good m/Good n/Good uː/Good d/Good l/Good z/Average,1.0
/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0006/000060094.WAV,TOM LIKES THE OLD SWEATER,t/Excellent ɑ/Excellent m/Excellent l/Excellent aɪ/Excellent k/Excellent s/Excellent ð/Excellent ə/Excellent oʊ/Excellent l/Excellent d/Excellent s/Excellent w/Excellent ɛ/Good t/Good ɚ/Good,t/Good ɑ/Good m/Good l/Good aɪ/Good k/Good s/Good ð/Good ə/Good oʊ/Good l/Good d/Good s/Good w/Good ɛ/Average t/Average ɚ/Average,1.0
/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0006/000060102.WAV,BOB NEEDS NEW BOOTS,b/Excellent ɑ/Excellent b/Excellent n/Excellent i/Excellent d/Good z/Good n/Excellent u/Excellent b/Excellent u/Excellent t/Excellent s/Excellent,b/Good ɑ/Good b/Good n/Good i/Good d/Excellent z/Average n/Good u/Good b/Good u/Good t/Good s/Good,1.0
/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0006/000060106.WAV,TOM CAN SEE THE MOTOR CYCLE,t/Excellent ɑ/Excellent m/Excellent k/Excellent æ/Excellent n/Excellent s/Excellent i/Excellent ð/Excellent ə/Excellent m/Excellent oʊ/Excellent t/Excellent ɚ/Excellent s/Excellent aɪ/Excellent k/Excellent l/Excellent,t/Good ɑ/Good m/Good k/Good æ/Good n/Good s/Good i/Good ð/Good ə/Good m/Good oʊ/Good t/Good ɚ/Good s/Good aɪ/Good k/Good l/Good,1.0
/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0006/000060111.WAV,HE LEFT THE FRUIT STAND,h/Good i/Good l/Excellent ɛ/Excellent f/Excellent t/Excellent ð/Excellent ə/Excellent f/Excellent ɹ/Excellent u/Excellent t/Excellent s/Excellent t/Excellent æ/Excellent n/Excellent d/Excellent,h/Excellent i/Average l/Good ɛ/Good f/Good t/Good ð/Good ə/Good f/Good ɹ/Good u/Good t/Good s/Good t/Good æ/Good n/Good d/Good,1.0
/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0006/000060113.WAV,LET'S GO TO THE GYM,l/Excellent ɛ/Excellent t/Excellent s/Excellent ɡ/Excellent oʊ/Excellent t/Excellent u/Excellent ð/Excellent ə/Excellent dʒ/Excellent ɪ/Excellent m/Excellent,l/Good ɛ/Good t/Good s/Good ɡ/Good oʊ/Good t/Good u/Good ð/Good ə/Good dʒ/Good ɪ/Good m/Good,1.0
/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0006/000060116.WAV,SO MARK WHEN TO THE PET SHOP,s/Excellent oʊ/Excellent m/Excellent ɑ/Excellent ɹ/Excellent k/Excellent w/Excellent ɛ/Excellent n/Excellent t/Excellent u/Excellent ð/Excellent ə/Excellent p/Excellent ɛ/Excellent t/Excellent ʃ/Excellent ɑ/Excellent p/Excellent,s/Good oʊ/Good m/Good ɑ/Good ɹ/Good k/Good w/Good ɛ/Good n/Good t/Good u/Good ð/Good ə/Good p/Good ɛ/Good t/Good ʃ/Good ɑ/Good p/Good,1.0
/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0006/000060124.WAV,SO ALICE WENT ON TO VILLAGE,s/Excellent oʊ/Excellent æ/Excellent l/Excellent ɪ/Excellent s/Excellent w/Excellent ɛ/Excellent n/Excellent t/Excellent ɑ/Good n/Excellent t/Excellent u/Excellent v/Excellent ɪ/Excellent l/Excellent ɪ/Excellent dʒ/Excellent,s/Good oʊ/Good æ/Good l/Good ɪ/Good s/Good w/Good ɛ/Good n/Good t/Good ɑ/Average n/Good t/Good u/Good v/Good ɪ/Good l/Good ɪ/Good dʒ/Good,1.0
/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0006/000060130.WAV,NO THAT'S TOMATO,n/Excellent oʊ/Excellent ð/Good æ/Excellent t/Excellent s/Excellent t/Excellent ə/Excellent m/Excellent eɪ/Excellent t/Excellent oʊ/Excellent,n/Good oʊ/Good ð/Excellent æ/Good t/Good s/Good t/Good ə/Good m/Good eɪ/Good t/Good oʊ/Good,1.0
/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0006/000060136.WAV,I'M NOT A ACTOR,aɪ/Excellent m/Excellent n/Excellent ɑ/Good t/Excellent ə/Excellent æ/Excellent k/Excellent t/Excellent ɚ/Excellent,aɪ/Good m/Good n/Good ɑ/Average t/Good ə/Good æ/Good k/Good t/Good ɚ/Good,1.0
