audiofilepath,transcript,phoneme_scores
/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0001/000010115.WAV,LET'S GO TO THE RESTROOM,l/2.0 ɛ/2.0 t/2.0 s/2.0 ɡ/2.0 oʊ/2.0 t/2.0 u/2.0 ð/2.0 ə/2.0 ɹ/2.0 ɛ/2.0 s/2.0 t/2.0 ɹ/2.0 u/2.0 m/1.8
/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0001/000010121.WAV,THEN MIKE WALKS TO COFFEE,ð/2.0 ɛ/2.0 n/2.0 m/2.0 aɪ/2.0 k/2.0 w/2.0 ɔ/1.8 k/2.0 s/2.0 t/2.0 u/2.0 k/2.0 ɔː/1.2 f/1.6 i/1.6
/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0001/000010122.WAV,SO MARY WENT ON TO STUDY,s/2.0 oʊ/2.0 m/2.0 æ/2.0 ɹ/2.0 ɪ/2.0 w/2.0 ɛ/2.0 n/2.0 t/2.0 ɑ/2.0 n/2.0 t/2.0 u/2.0 s/2.0 t/2.0 ʌ/1.8 d/2.0 i/2.0
/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0001/000010133.WAV,KATE GOT THE TOMATO,k/2.0 ɛ/1.6 t/1.8 ɡ/2.0 ɑ/1.6 t/2.0 ð/2.0 ə/2.0 t/2.0 ə/2.0 m/2.0 eɪ/1.0 t/1.8 oʊ/2.0
/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0001/000010135.WAV,TINA LOVES EGGPLANT,t/2.0 iː/2.0 n/2.0 ə/2.0 l/2.0 ə/2.0 v/2.0 z/1.6 ɛ/1.6 ɡ/2.0 p/2.0 l/2.0 æ/2.0 n/2.0 t/2.0
/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0001/000010140.WAV,DORA IS NOT A CLEANER,d/2.0 ɔː/1.8 ɹ/2.0 ə/2.0 ɪ/2.0 z/2.0 n/2.0 ɑ/1.6 t/2.0 ə/2.0 k/2.0 l/2.0 iː/2.0 n/2.0 ɚ/2.0
/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0001/000010145.WAV,MARK LIVED IN NEW YORK,m/2.0 ɑ/2.0 ɹ/1.8 k/1.6 l/2.0 ɪ/2.0 v/2.0 d/2.0 ɪ/2.0 n/2.0 n/2.0 u/2.0 j/2.0 ɔ/2.0 k/2.0
/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0001/000010149.WAV,BOB LIVES IN CAIRO NOW,b/2.0 ɑ/1.4 b/2.0 l/2.0 ɪ/2.0 v/2.0 z/1.6 ɪ/2.0 n/2.0 k/2.0 aɪ/1.6 ɹ/1.6 oʊ/1.4 n/2.0 aʊ/2.0
/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0001/000010168.WAV,BYE,b/2.0 aɪ/2.0
/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0001/000010173.WAV,TREES,t/2.0 ɹ/2.0 i/2.0 z/1.2
/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0005/000050003.WAV,MIKE LIKES THE WHITE ONE,m/2.0 aɪ/2.0 k/2.0 l/2.0 aɪ/2.0 k/2.0 s/2.0 ð/1.6 ə/2.0 w/2.0 aɪ/2.0 t/2.0 w/2.0 ə/2.0 n/2.0
/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0005/000050010.WAV,ITS NAME IS SAY,ɪ/2.0 t/2.0 s/2.0 n/2.0 eɪ/2.0 m/2.0 ɪ/0.8 z/1.4 s/2.0 eɪ/1.4
/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0005/000050024.WAV,BILLY LOVES AMERICA,b/2.0 ɪ/2.0 l/2.0 i/2.0 l/2.0 ə/2.0 v/1.8 z/1.4 ə/2.0 m/2.0 ɛ/2.0 ɹ/2.0 ɪ/2.0 k/1.2 ə/2.0
/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0005/000050028.WAV,TWO TWO EIGHT SEVEN,t/2.0 u/1.8 t/2.0 u/1.8 eɪ/2.0 t/2.0 s/2.0 ɛ/2.0 v/1.8 n/2.0
/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0005/000050038.WAV,FOUR FIVE FOUR SEVEN,f/2.0 ɔ/2.0 ɹ/1.8 f/2.0 aɪ/2.0 v/1.8 f/2.0 ɔ/2.0 ɹ/1.8 s/2.0 ɛ/1.8 v/1.8 n/2.0
/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0005/000050040.WAV,FIVE THREE NINE ZERO,f/2.0 aɪ/2.0 v/1.6 θ/1.6 ɹ/2.0 i/1.8 n/2.0 aɪ/2.0 n/2.0 z/2.0 ɪ/1.8 ʌ/1.8 oʊ/2.0
/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0005/000050047.WAV,SIX FIVE THREE,s/2.0 ɪ/2.0 k/2.0 s/2.0 f/2.0 aɪ/2.0 v/1.8 θ/1.4 ɹ/2.0 i/2.0
/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0005/000050049.WAV,TWO FIVE EIGHT,t/2.0 u/2.0 f/2.0 aɪ/2.0 v/1.4 eɪ/2.0 t/1.8
/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0005/000050055.WAV,WE LESS MEAT,w/2.0 i/2.0 l/2.0 ɛ/1.6 s/2.0 m/2.0 i/2.0 t/2.0
/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0005/000050078.WAV,DOSE MIKE LIKE THE HAMBURGER,d/2.0 oʊ/1.6 s/2.0 m/1.6 aɪ/1.4 k/2.0 l/2.0 aɪ/2.0 k/2.0 ð/2.0 ə/2.0 h/2.0 æ/2.0 m/2.0 b/2.0 ɚ/2.0 ɡ/2.0 ɚ/2.0
/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0005/000050079.WAV,ANNIE WANT HAVE SOME PRETTIES,æ/1.8 n/2.0 ɪ/2.0 w/2.0 ɑ/1.6 n/1.8 t/2.0 h/2.0 æ/2.0 v/1.8 s/2.0 ə/2.0 m/2.0 p/2.0 ɹ/2.0 ɪ/2.0 t/2.0 i/2.0 s/2.0
/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0005/000050083.WAV,KATE'S GOT SOME GREY,k/2.0 ɛ/2.0 i/2.0 t/1.8 z/1.2 ɡ/2.0 ɑ/1.6 t/2.0 s/2.0 ə/2.0 m/2.0 ɡ/0.4 ɹ/0.4 eɪ/0.4
/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0005/000050095.WAV,LOOK AT JOHN'S SWEATER,l/2.0 ʊ/2.0 k/2.0 æ/2.0 t/2.0 dʒ/2.0 ɑ/1.0 n/1.6 z/1.2 s/1.6 w/2.0 ɛ/2.0 t/2.0 ɚ/2.0
/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0005/000050099.WAV,TIM HAS A BEAUTIFUL TELL,t/2.0 ɪ/1.8 m/2.0 h/2.0 æ/2.0 z/1.8 ə/2.0 b/2.0 j/2.0 uː/2.0 t/2.0 ɪ/2.0 f/2.0 l/2.0 t/2.0 ɛ/1.2 l/0.8
/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0005/000050100.WAV,JIM LIKES YOUR BLUE SHORE,dʒ/2.0 ɪ/2.0 m/2.0 l/2.0 aɪ/2.0 k/2.0 s/2.0 j/2.0 ɚ/1.6 b/2.0 l/2.0 u/2.0 ʃ/2.0 ɔ/2.0 ɹ/1.8
/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0005/000050114.WAV,ANNIE WENT WALKING THEM PARK,æ/2.0 n/2.0 ɪ/2.0 w/2.0 ɛ/1.6 n/1.6 t/2.0 w/2.0 ɔː/2.0 k/2.0 ɪ/2.0 ŋ/2.0 ð/2.0 ɛ/1.4 m/1.4 p/2.0 ɑ/2.0 ɹ/1.8 k/2.0
/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0005/000050118.WAV,LAYLA CAN SEE THE HOMETOWN,l/1.2 eɪ/1.2 l/2.0 ɑ/2.0 k/2.0 æ/2.0 n/1.8 s/2.0 i/1.6 ð/2.0 ə/2.0 h/2.0 oʊ/2.0 m/2.0 t/2.0 aʊ/0.4 n/1.6
/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0005/000050122.WAV,SO TINA WENT ON TO WASHROOM,s/2.0 oʊ/2.0 t/2.0 iː/2.0 n/2.0 ə/2.0 w/1.6 ɛ/0.4 n/0.8 t/1.8 ɑ/1.8 n/2.0 t/2.0 u/1.8 w/2.0 ɑː/1.2 ʃ/2.0 ɹ/2.0 u/2.0 m/2.0
/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0005/000050174.WAV,ALL WITH HIM,ɔ/1.6 l/2.0 w/2.0 ɪ/2.0 θ/1.6 h/1.8 ɪ/2.0 m/2.0
/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0005/000050175.WAV,GOOD JOB,ɡ/2.0 ʊ/1.2 d/2.0 dʒ/2.0 ɑ/1.4 b/2.0
/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0006/000060015.WAV,JAYME IS GOING TO SEE HEN,dʒ/2.0 eɪ/2.0 m/2.0 i/2.0 ɪ/2.0 z/2.0 ɡ/2.0 oʊ/2.0 ɪ/2.0 ŋ/2.0 t/2.0 u/2.0 s/2.0 i/2.0 h/2.0 ɛ/2.0 n/2.0
/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0006/000060020.WAV,DORA IS COME FROM JAPAN,d/2.0 ɔː/2.0 ɹ/2.0 ə/2.0 ɪ/2.0 z/2.0 k/2.0 ə/2.0 m/2.0 f/2.0 ɹ/2.0 ə/1.4 m/2.0 dʒ/2.0 ə/2.0 p/2.0 æ/2.0 n/2.0
/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0006/000060029.WAV,SIX ONE SIX ZERO,s/2.0 ɪ/2.0 k/2.0 s/2.0 w/2.0 ə/2.0 n/2.0 s/2.0 ɪ/2.0 k/2.0 s/2.0 z/2.0 ɪ/1.6 ɹ/1.6 oʊ/2.0
/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0006/000060031.WAV,FIVE TWO FOUR SEVEN,f/2.0 aɪ/2.0 v/2.0 t/2.0 u/2.0 f/2.0 ɔ/2.0 ɹ/2.0 s/2.0 ɛ/2.0 v/2.0 n/2.0
/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0006/000060049.WAV,ZERO THREE FIVE,z/2.0 ɪ/1.6 ɹ/1.6 oʊ/2.0 θ/2.0 ɹ/2.0 i/2.0 f/2.0 aɪ/2.0 v/1.6
/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0006/000060056.WAV,PHONE PARTS TICKETS,f/2.0 oʊ/2.0 n/2.0 p/2.0 ɑ/2.0 ɹ/2.0 t/2.0 s/2.0 t/2.0 ɪ/2.0 k/2.0 ɪ/2.0 t/2.0 s/2.0
/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0006/000060077.WAV,ANN ATE A LITTLE DOG,æ/2.0 n/2.0 eɪ/2.0 t/2.0 ə/2.0 l/2.0 ɪ/2.0 t/2.0 l/2.0 d/2.0 ɔ/2.0 ɡ/2.0
/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0006/000060081.WAV,DOES LAYLA LIKE THE JAM,d/2.0 ə/2.0 z/2.0 l/2.0 eɪ/2.0 l/2.0 ɑ/2.0 l/2.0 aɪ/2.0 k/2.0 ð/2.0 ə/2.0 dʒ/2.0 æ/2.0 m/2.0
/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0006/000060082.WAV,KATE LIKES LAMB,k/2.0 ɛ/1.8 t/2.0 l/2.0 aɪ/2.0 k/2.0 s/2.0 l/2.0 æ/2.0 m/2.0
/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0006/000060083.WAV,MARK GOT SOME NOODLES,m/2.0 ɑ/2.0 ɹ/2.0 k/2.0 ɡ/2.0 ɑ/1.8 t/2.0 s/2.0 ə/2.0 m/2.0 n/2.0 uː/2.0 d/2.0 l/2.0 z/1.6
/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0006/000060094.WAV,TOM LIKES THE OLD SWEATER,t/2.0 ɑ/2.0 m/2.0 l/2.0 aɪ/2.0 k/2.0 s/2.0 ð/2.0 ə/2.0 oʊ/2.0 l/2.0 d/2.0 s/2.0 w/2.0 ɛ/1.8 t/1.6 ɚ/1.6
/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0006/000060102.WAV,BOB NEEDS NEW BOOTS,b/2.0 ɑ/2.0 b/2.0 n/2.0 i/2.0 d/1.8 z/1.8 n/2.0 u/2.0 b/2.0 u/2.0 t/2.0 s/2.0
/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0006/000060106.WAV,TOM CAN SEE THE MOTOR CYCLE,t/2.0 ɑ/2.0 m/2.0 k/2.0 æ/2.0 n/2.0 s/2.0 i/2.0 ð/2.0 ə/2.0 m/2.0 oʊ/2.0 t/2.0 ɚ/2.0 s/2.0 aɪ/2.0 k/2.0 l/2.0
/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0006/000060111.WAV,HE LEFT THE FRUIT STAND,h/1.6 i/1.8 l/2.0 ɛ/2.0 f/2.0 t/2.0 ð/2.0 ə/2.0 f/2.0 ɹ/2.0 u/2.0 t/2.0 s/2.0 t/2.0 æ/2.0 n/2.0 d/2.0
/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0006/000060113.WAV,LET'S GO TO THE GYM,l/2.0 ɛ/2.0 t/2.0 s/2.0 ɡ/2.0 oʊ/2.0 t/2.0 u/2.0 ð/2.0 ə/2.0 dʒ/2.0 ɪ/2.0 m/2.0
/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0006/000060116.WAV,SO MARK WHEN TO THE PET SHOP,s/2.0 oʊ/2.0 m/2.0 ɑ/2.0 ɹ/2.0 k/2.0 w/2.0 ɛ/2.0 n/2.0 t/2.0 u/2.0 ð/2.0 ə/2.0 p/2.0 ɛ/2.0 t/2.0 ʃ/2.0 ɑ/2.0 p/2.0
/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0006/000060124.WAV,SO ALICE WENT ON TO VILLAGE,s/2.0 oʊ/2.0 æ/2.0 l/2.0 ɪ/2.0 s/2.0 w/2.0 ɛ/2.0 n/2.0 t/2.0 ɑ/1.8 n/2.0 t/2.0 u/2.0 v/2.0 ɪ/2.0 l/2.0 ɪ/2.0 dʒ/2.0
/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0006/000060130.WAV,NO THAT'S TOMATO,n/2.0 oʊ/2.0 ð/1.6 æ/2.0 t/2.0 s/2.0 t/2.0 ə/2.0 m/2.0 eɪ/2.0 t/2.0 oʊ/2.0
/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0006/000060136.WAV,I'M NOT A ACTOR,aɪ/2.0 m/2.0 n/2.0 ɑ/1.8 t/2.0 ə/2.0 æ/2.0 k/2.0 t/2.0 ɚ/2.0
/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0006/000060153.WAV,WHAT LOVELY CLEAN TEETH,w/2.0 ə/2.0 t/2.0 l/2.0 ʌ/2.0 v/2.0 l/2.0 i/2.0 k/2.0 l/2.0 i/2.0 n/2.0 t/2.0 i/2.0 θ/1.8
/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0026/000260001.WAV,LAYLA LOVE BROWN,l/2.0 eɪ/0.4 l/2.0 ɑ/2.0 l/2.0 ə/2.0 v/1.0 b/2.0 ɹ/2.0 aʊ/1.8 n/2.0
/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0026/000260011.WAV,ANDY CAN SEE THE HEN,æ/1.8 n/2.0 d/2.0 ɪ/2.0 k/2.0 æ/1.8 n/2.0 s/2.0 i/2.0 ð/1.8 ə/2.0 h/2.0 ɛ/2.0 n/2.0
/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0026/000260015.WAV,JOHN IS GOING TO SEE COW,dʒ/2.0 ə/2.0 n/2.0 ɪ/2.0 z/1.8 ɡ/2.0 oʊ/2.0 ɪ/2.0 ŋ/2.0 t/2.0 u/2.0 s/2.0 i/2.0 k/2.0 aʊ/2.0
/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0026/000260032.WAV,ONE ONE ZERO EIGHT,w/2.0 ə/1.8 n/2.0 w/2.0 ə/1.8 n/2.0 z/2.0 ɪ/1.4 ɚ/1.4 oʊ/2.0 eɪ/2.0 t/2.0
/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0026/000260033.WAV,THREE ONE SEVEN NINE,θ/1.8 ɹ/2.0 i/2.0 w/2.0 ə/1.8 n/2.0 s/2.0 ɛ/2.0 v/2.0 n/2.0 n/2.0 aɪ/2.0 n/2.0
/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0026/000260039.WAV,EIGHT ZERO SIX TWO,eɪ/2.0 t/2.0 z/2.0 ɪ/1.6 ɚ/1.6 oʊ/2.0 s/2.0 ɪ/2.0 k/2.0 s/2.0 t/2.0 u/2.0
/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0026/000260048.WAV,THREE ZERO EIGHT SEVEN,θ/1.8 ɹ/2.0 i/2.0 z/2.0 ɪ/1.4 ɚ/1.4 oʊ/2.0 eɪ/2.0 t/2.0 s/2.0 ɛ/2.0 v/2.0 n/2.0
/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0026/000260050.WAV,ZERO EIGHT THREE ONE,z/2.0 ɪ/2.0 ɚ/1.4 oʊ/2.0 eɪ/2.0 t/2.0 θ/1.8 ɹ/2.0 i/2.0 w/2.0 ə/2.0 n/2.0
/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0026/000260052.WAV,SIX EIGHT SIX SEVEN,s/2.0 ɪ/2.0 k/2.0 s/2.0 eɪ/2.0 t/2.0 s/2.0 ɪ/2.0 k/2.0 s/2.0 s/2.0 ɛ/2.0 v/2.0 n/2.0
/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0026/000260069.WAV,TEDDY GIVES UP SHOOTING,t/2.0 ɛ/0.2 d/2.0 i/2.0 ɡ/2.0 ɪ/2.0 v/2.0 z/1.6 ə/2.0 p/2.0 ʃ/2.0 uː/2.0 t/2.0 ɪ/2.0 ŋ/2.0
/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0026/000260075.WAV,HE LIKES RACING,h/2.0 i/2.0 l/2.0 aɪ/2.0 k/2.0 s/2.0 ɹ/2.0 eɪ/2.0 s/2.0 ɪ/2.0 ŋ/2.0
/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0026/000260091.WAV,DORA LIKES YOUR RED JEANS,d/2.0 ɔː/2.0 ɹ/2.0 ə/1.4 l/2.0 aɪ/2.0 k/2.0 s/1.6 j/2.0 ʊ/1.8 ə/1.8 ɹ/2.0 ɛ/2.0 d/2.0 dʒ/2.0 i/2.0 n/2.0 z/1.6
/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0026/000260095.WAV,BOB LOVES THE NEW CLOTH,b/2.0 ə/1.8 b/2.0 l/2.0 ə/2.0 v/2.0 z/1.6 ð/2.0 ə/2.0 n/2.0 j/2.0 u/2.0 k/2.0 l/2.0 ə/1.0 θ/2.0
/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0026/000260096.WAV,JOHN NEEDS NEW T SHIRT,dʒ/2.0 ə/2.0 n/2.0 n/2.0 i/2.0 d/2.0 z/2.0 n/2.0 j/2.0 u/2.0 t/2.0 i/2.0 ʃ/2.0 ɚ/2.0 t/2.0
/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0026/000260112.WAV,THEN LILLY WALKS TO MUSIC ROOM,ð/2.0 ɛ/2.0 n/2.0 l/2.0 ɪ/2.0 l/2.0 i/2.0 w/2.0 ɔ/1.8 k/2.0 s/2.0 t/2.0 u/2.0 m/2.0 j/2.0 uː/2.0 z/2.0 ɪ/2.0 k/2.0 ɹ/2.0 ʊ/2.0 m/2.0
/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0026/000260115.WAV,THEN TIM WALKS TO THEM PARK,ð/1.6 ɛ/2.0 n/2.0 t/2.0 ɪ/2.0 m/2.0 w/2.0 ɔ/2.0 k/2.0 s/2.0 t/2.0 u/2.0 ð/2.0 ɛ/1.2 m/2.0 p/2.0 ɑ/2.0 ɹ/2.0 k/2.0
/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0026/000260121.WAV,THEN MANDY WALKS TO RESTROOM,ð/2.0 ɛ/2.0 n/2.0 m/2.0 æ/2.0 n/2.0 d/2.0 i/2.0 w/2.0 ɔ/1.8 k/2.0 s/2.0 t/2.0 u/2.0 ɹ/2.0 ɛ/2.0 s/2.0 t/2.0 ɹ/2.0 ʊ/2.0 m/2.0
/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0026/000260126.WAV,DO YOU WANT THE PEA,d/2.0 ʊ/2.0 j/2.0 u/2.0 w/2.0 ɑ/2.0 n/2.0 t/2.0 ð/2.0 ə/2.0 p/2.0 i/2.0
/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0026/000260133.WAV,ANDY GOT THE MUSHROOM,æ/2.0 n/2.0 d/2.0 ɪ/2.0 ɡ/2.0 ə/2.0 t/1.8 ð/1.6 ə/2.0 m/2.0 ʌ/2.0 ʃ/2.0 ɹ/2.0 ʊ/2.0 m/2.0
/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0026/000260166.WAV,NOW FOR THE PARTY,n/2.0 aʊ/2.0 f/2.0 ɔ/2.0 ɹ/2.0 ð/1.6 ə/2.0 p/2.0 ɑː/2.0 ɹ/2.0 t/2.0 i/2.0
/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0036/000360013.WAV,IT'S JUST SO HARD TO PICTURE,ɪ/2.0 t/2.0 s/2.0 dʒ/2.0 ə/2.0 s/2.0 t/2.0 s/2.0 oʊ/2.0 h/2.0 ɑ/2.0 ɹ/2.0 d/2.0 t/2.0 u/2.0 p/2.0 ɪ/2.0 k/2.0 tʃ/2.0 ɚ/2.0
/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0036/000360034.WAV,WE SPEAK OUT WHEN WE FEEL WE SHOULD SPEAK OUT,w/2.0 i/2.0 s/2.0 p/2.0 i/2.0 k/2.0 aʊ/1.8 t/2.0 w/2.0 ɛ/2.0 n/2.0 w/2.0 i/2.0 f/2.0 i/1.8 l/2.0 w/2.0 i/2.0 ʃ/2.0 ʊ/2.0 d/2.0 s/2.0 p/2.0 i/2.0 k/2.0 aʊ/1.8 t/2.0
/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0036/000360036.WAV,I COULD DO WITH A BREAK,aɪ/2.0 k/2.0 ʊ/2.0 d/2.0 d/2.0 ʊ/1.6 w/2.0 ɪ/2.0 ð/2.0 ə/2.0 b/2.0 ɹ/2.0 eɪ/2.0 k/2.0
