id,audio_path,transcript,sentence_chosen,sentence_rejected,chosen,rejected,dpo_weight
50010,/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0005/000050010.WAV,ITS NAME IS SAY,Good,Excellent,ITS/Excellent NAME/Excellent IS/Good SAY/Excellent,ITS/Good NAME/Good IS/Average SAY/Good,1.5
50024,/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0005/000050024.WAV,BILLY LOVES AMERICA,Good,Average,BILLY/Excellent LOVES/Good AMERICA/Excellent,BILLY/Good LOVES/Average AMERICA/Good,1.5
50028,/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0005/000050028.WAV,TWO TWO EIGHT SEVEN,Good,Excellent,TWO/Excellent TWO/Excellent EIGHT/Excellent SEVEN/Excellent,TWO/Good TWO/Good EIGHT/Good SEVEN/Good,1.5
50038,/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0005/000050038.WAV,FOUR FIVE FOUR SEVEN,Good,Excellent,FOUR/Excellent FIVE/Excellent FOUR/Excellent SEVEN/Excellent,FOUR/Good FIVE/Good FOUR/Good SEVEN/Good,1.5
50040,/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0005/000050040.WAV,FIVE THREE NINE ZERO,Good,Excellent,FIVE/Excellent THREE/Good NINE/Excellent ZERO/Excellent,FIVE/Good THREE/Excellent NINE/Good ZERO/Good,1.5
50047,/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0005/000050047.WAV,SIX FIVE THREE,Good,Average,SIX/Excellent FIVE/Excellent THREE/Excellent,SIX/Good FIVE/Good THREE/Good,1.5
50049,/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0005/000050049.WAV,TWO FIVE EIGHT,Good,Average,TWO/Excellent FIVE/Good EIGHT/Excellent,TWO/Good FIVE/Average EIGHT/Good,1.5
50055,/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0005/000050055.WAV,WE LESS MEAT,Excellent,Good,WE/Excellent LESS/Excellent MEAT/Excellent,WE/Good LESS/Good MEAT/Good,1.5
50078,/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0005/000050078.WAV,DOSE MIKE LIKE THE HAMBURGER,Good,Excellent,DOSE/Excellent MIKE/Excellent LIKE/Excellent THE/Excellent HAMBURGER/Excellent,DOSE/Good MIKE/Good LIKE/Good THE/Good HAMBURGER/Good,1.5
50079,/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0005/000050079.WAV,ANNIE WANT HAVE SOME PRETTIES,Good,Average,ANNIE/Excellent WANT/Excellent HAVE/Excellent SOME/Excellent PRETTIES/Excellent,ANNIE/Good WANT/Good HAVE/Good SOME/Good PRETTIES/Good,1.5
50083,/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0005/000050083.WAV,KATE'S GOT SOME GREY,Average,Good,KATE'S/Good GOT/Excellent SOME/Excellent GREY/Worst,KATE'S/Average GOT/Good SOME/Good GREY/Bad,1.5
50095,/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0005/000050095.WAV,LOOK AT JOHN'S SWEATER,Good,Excellent,LOOK/Excellent AT/Excellent JOHN'S/Average SWEATER/Excellent,LOOK/Good AT/Good JOHN'S/Good SWEATER/Good,1.5
50099,/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0005/000050099.WAV,TIM HAS A BEAUTIFUL TELL,Good,Average,TIM/Excellent HAS/Excellent A/Excellent BEAUTIFUL/Excellent TELL/Bad,TIM/Good HAS/Good A/Good BEAUTIFUL/Good TELL/Average,1.5
50100,/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0005/000050100.WAV,JIM LIKES YOUR BLUE SHORE,Good,Excellent,JIM/Excellent LIKES/Excellent YOUR/Excellent BLUE/Excellent SHORE/Excellent,JIM/Good LIKES/Good YOUR/Good BLUE/Good SHORE/Good,1.5
50114,/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0005/000050114.WAV,ANNIE WENT WALKING THEM PARK,Good,Excellent,ANNIE/Excellent WENT/Excellent WALKING/Excellent THEM/Excellent PARK/Excellent,ANNIE/Good WENT/Good WALKING/Good THEM/Good PARK/Good,1.5
50118,/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0005/000050118.WAV,LAYLA CAN SEE THE HOMETOWN,Average,Bad,LAYLA/Excellent CAN/Excellent SEE/Excellent THE/Excellent HOMETOWN/Bad,LAYLA/Good CAN/Good SEE/Good THE/Good HOMETOWN/Good,1.5
50122,/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0005/000050122.WAV,SO TINA WENT ON TO WASHROOM,Average,Bad,SO/Excellent TINA/Excellent WENT/Bad ON/Excellent TO/Excellent WASHROOM/Excellent,SO/Good TINA/Good WENT/Good ON/Good TO/Good WASHROOM/Good,1.5
50174,/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0005/000050174.WAV,ALL WITH HIM,Good,Average,ALL/Excellent WITH/Excellent HIM/Excellent,ALL/Good WITH/Good HIM/Good,1.5
50175,/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0005/000050175.WAV,GOOD JOB,Excellent,Good,GOOD/Excellent JOB/Excellent,GOOD/Good JOB/Good,1.5
60015,/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0006/000060015.WAV,JAYME IS GOING TO SEE HEN,Excellent,Good,JAYME/Excellent IS/Excellent GOING/Excellent TO/Excellent SEE/Excellent HEN/Excellent,JAYME/Good IS/Good GOING/Good TO/Good SEE/Good HEN/Good,1.5
60020,/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0006/000060020.WAV,DORA IS COME FROM JAPAN,Excellent,Good,DORA/Excellent IS/Excellent COME/Excellent FROM/Excellent JAPAN/Excellent,DORA/Good IS/Good COME/Good FROM/Good JAPAN/Good,1.5
60029,/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0006/000060029.WAV,SIX ONE SIX ZERO,Excellent,Good,SIX/Excellent ONE/Excellent SIX/Excellent ZERO/Excellent,SIX/Good ONE/Good SIX/Good ZERO/Good,1.5
60031,/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0006/000060031.WAV,FIVE TWO FOUR SEVEN,Excellent,Good,FIVE/Excellent TWO/Excellent FOUR/Excellent SEVEN/Excellent,FIVE/Good TWO/Good FOUR/Good SEVEN/Good,1.5
60049,/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0006/000060049.WAV,ZERO THREE FIVE,Good,Average,ZERO/Excellent THREE/Excellent FIVE/Excellent,ZERO/Good THREE/Good FIVE/Good,1.5
60056,/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0006/000060056.WAV,PHONE PARTS TICKETS,Excellent,Good,PHONE/Excellent PARTS/Excellent TICKETS/Excellent,PHONE/Good PARTS/Good TICKETS/Good,1.5
60077,/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0006/000060077.WAV,ANN ATE A LITTLE DOG,Excellent,Good,ANN/Excellent ATE/Excellent A/Excellent LITTLE/Excellent DOG/Excellent,ANN/Good ATE/Good A/Good LITTLE/Good DOG/Good,1.5
60081,/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0006/000060081.WAV,DOES LAYLA LIKE THE JAM,Excellent,Good,DOES/Excellent LAYLA/Excellent LIKE/Excellent THE/Excellent JAM/Excellent,DOES/Good LAYLA/Good LIKE/Good THE/Good JAM/Good,1.5
60082,/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0006/000060082.WAV,KATE LIKES LAMB,Excellent,Good,KATE/Excellent LIKES/Excellent LAMB/Excellent,KATE/Good LIKES/Good LAMB/Good,1.5
60083,/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0006/000060083.WAV,MARK GOT SOME NOODLES,Excellent,Good,MARK/Excellent GOT/Excellent SOME/Excellent NOODLES/Excellent,MARK/Good GOT/Good SOME/Good NOODLES/Good,1.5
60094,/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0006/000060094.WAV,TOM LIKES THE OLD SWEATER,Excellent,Good,TOM/Excellent LIKES/Excellent THE/Excellent OLD/Excellent SWEATER/Excellent,TOM/Good LIKES/Good THE/Good OLD/Good SWEATER/Good,1.5
60102,/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0006/000060102.WAV,BOB NEEDS NEW BOOTS,Excellent,Good,BOB/Excellent NEEDS/Excellent NEW/Excellent BOOTS/Excellent,BOB/Good NEEDS/Good NEW/Good BOOTS/Good,1.5
60106,/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0006/000060106.WAV,TOM CAN SEE THE MOTOR CYCLE,Excellent,Good,TOM/Excellent CAN/Excellent SEE/Excellent THE/Excellent MOTOR/Excellent CYCLE/Excellent,TOM/Good CAN/Good SEE/Good THE/Good MOTOR/Good CYCLE/Good,1.5
60111,/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0006/000060111.WAV,HE LEFT THE FRUIT STAND,Excellent,Good,HE/Excellent LEFT/Excellent THE/Excellent FRUIT/Excellent STAND/Excellent,HE/Good LEFT/Good THE/Good FRUIT/Good STAND/Good,1.5
60113,/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0006/000060113.WAV,LET'S GO TO THE GYM,Excellent,Good,LET'S/Excellent GO/Excellent TO/Excellent THE/Excellent GYM/Excellent,LET'S/Good GO/Good TO/Good THE/Good GYM/Good,1.5
60116,/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0006/000060116.WAV,SO MARK WHEN TO THE PET SHOP,Excellent,Good,SO/Excellent MARK/Excellent WHEN/Excellent TO/Excellent THE/Excellent PET/Excellent SHOP/Excellent,SO/Good MARK/Good WHEN/Good TO/Good THE/Good PET/Good SHOP/Good,1.5
60124,/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0006/000060124.WAV,SO ALICE WENT ON TO VILLAGE,Excellent,Good,SO/Excellent ALICE/Excellent WENT/Excellent ON/Excellent TO/Excellent VILLAGE/Excellent,SO/Good ALICE/Good WENT/Good ON/Good TO/Good VILLAGE/Good,1.5
60130,/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0006/000060130.WAV,NO THAT'S TOMATO,Excellent,Good,NO/Excellent THAT'S/Excellent TOMATO/Excellent,NO/Good THAT'S/Good TOMATO/Good,1.5
60136,/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0006/000060136.WAV,I'M NOT A ACTOR,Excellent,Good,I'M/Excellent NOT/Excellent A/Excellent ACTOR/Excellent,I'M/Good NOT/Good A/Good ACTOR/Good,1.5
60153,/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0006/000060153.WAV,WHAT LOVELY CLEAN TEETH,Excellent,Good,WHAT/Excellent LOVELY/Excellent CLEAN/Excellent TEETH/Excellent,WHAT/Good LOVELY/Good CLEAN/Good TEETH/Good,1.5
260001,/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0026/000260001.WAV,LAYLA LOVE BROWN,Average,Good,LAYLA/Average LOVE/Good BROWN/Excellent,LAYLA/Good LOVE/Average BROWN/Good,1.5
260011,/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0026/000260011.WAV,ANDY CAN SEE THE HEN,Good,Excellent,ANDY/Excellent CAN/Excellent SEE/Excellent THE/Excellent HEN/Excellent,ANDY/Good CAN/Good SEE/Good THE/Good HEN/Good,1.5
260015,/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0026/000260015.WAV,JOHN IS GOING TO SEE COW,Excellent,Good,JOHN/Excellent IS/Excellent GOING/Excellent TO/Excellent SEE/Excellent COW/Excellent,JOHN/Good IS/Good GOING/Good TO/Good SEE/Good COW/Good,1.5
260032,/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0026/000260032.WAV,ONE ONE ZERO EIGHT,Good,Average,ONE/Good ONE/Good ZERO/Excellent EIGHT/Excellent,ONE/Excellent ONE/Average ZERO/Good EIGHT/Good,1.5
260033,/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0026/000260033.WAV,THREE ONE SEVEN NINE,Excellent,Good,THREE/Excellent ONE/Good SEVEN/Excellent NINE/Excellent,THREE/Good ONE/Average SEVEN/Good NINE/Good,1.5
260039,/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0026/000260039.WAV,EIGHT ZERO SIX TWO,Excellent,Good,EIGHT/Excellent ZERO/Excellent SIX/Excellent TWO/Excellent,EIGHT/Good ZERO/Good SIX/Good TWO/Good,1.5
260048,/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0026/000260048.WAV,THREE ZERO EIGHT SEVEN,Excellent,Good,THREE/Excellent ZERO/Excellent EIGHT/Excellent SEVEN/Excellent,THREE/Good ZERO/Good EIGHT/Good SEVEN/Good,1.5
260050,/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0026/000260050.WAV,ZERO EIGHT THREE ONE,Excellent,Good,ZERO/Excellent EIGHT/Excellent THREE/Excellent ONE/Excellent,ZERO/Good EIGHT/Good THREE/Good ONE/Good,1.5
260052,/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0026/000260052.WAV,SIX EIGHT SIX SEVEN,Excellent,Good,SIX/Excellent EIGHT/Excellent SIX/Excellent SEVEN/Excellent,SIX/Good EIGHT/Good SIX/Good SEVEN/Good,1.5
260069,/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0026/000260069.WAV,TEDDY GIVES UP SHOOTING,Good,Average,TEDDY/Average GIVES/Excellent UP/Excellent SHOOTING/Excellent,TEDDY/Bad GIVES/Good UP/Good SHOOTING/Good,1.5
260075,/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0026/000260075.WAV,HE LIKES RACING,Excellent,Good,HE/Excellent LIKES/Excellent RACING/Excellent,HE/Good LIKES/Good RACING/Good,1.5
260091,/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0026/000260091.WAV,DORA LIKES YOUR RED JEANS,Good,Average,DORA/Excellent LIKES/Excellent YOUR/Excellent RED/Excellent JEANS/Excellent,DORA/Good LIKES/Good YOUR/Good RED/Good JEANS/Good,1.5
260095,/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0026/000260095.WAV,BOB LOVES THE NEW CLOTH,Good,Excellent,BOB/Excellent LOVES/Excellent THE/Excellent NEW/Excellent CLOTH/Good,BOB/Good LOVES/Good THE/Good NEW/Good CLOTH/Average,1.5
260096,/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0026/000260096.WAV,JOHN NEEDS NEW T SHIRT,Excellent,Good,JOHN/Excellent NEEDS/Excellent NEW/Excellent T/Excellent SHIRT/Excellent,JOHN/Good NEEDS/Good NEW/Good T/Good SHIRT/Good,1.5
260112,/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0026/000260112.WAV,THEN LILLY WALKS TO MUSIC ROOM,Excellent,Good,THEN/Excellent LILLY/Excellent WALKS/Excellent TO/Excellent MUSIC/Excellent ROOM/Excellent,THEN/Good LILLY/Good WALKS/Good TO/Good MUSIC/Good ROOM/Good,1.5
260115,/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0026/000260115.WAV,THEN TIM WALKS TO THEM PARK,Excellent,Good,THEN/Excellent TIM/Excellent WALKS/Excellent TO/Excellent THEM/Excellent PARK/Excellent,THEN/Good TIM/Good WALKS/Good TO/Good THEM/Good PARK/Good,1.5
260121,/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0026/000260121.WAV,THEN MANDY WALKS TO RESTROOM,Excellent,Good,THEN/Excellent MANDY/Excellent WALKS/Excellent TO/Excellent RESTROOM/Excellent,THEN/Good MANDY/Good WALKS/Good TO/Good RESTROOM/Good,1.5
260126,/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0026/000260126.WAV,DO YOU WANT THE PEA,Excellent,Good,DO/Excellent YOU/Excellent WANT/Excellent THE/Excellent PEA/Excellent,DO/Good YOU/Good WANT/Good THE/Good PEA/Good,1.5
260133,/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0026/000260133.WAV,ANDY GOT THE MUSHROOM,Excellent,Good,ANDY/Excellent GOT/Excellent THE/Excellent MUSHROOM/Excellent,ANDY/Good GOT/Good THE/Good MUSHROOM/Good,1.5
260166,/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0026/000260166.WAV,NOW FOR THE PARTY,Excellent,Good,NOW/Excellent FOR/Excellent THE/Excellent PARTY/Excellent,NOW/Good FOR/Good THE/Good PARTY/Good,1.5
360013,/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0036/000360013.WAV,IT'S JUST SO HARD TO PICTURE,Excellent,Good,IT'S/Excellent JUST/Excellent SO/Excellent HARD/Excellent TO/Excellent PICTURE/Excellent,IT'S/Good JUST/Good SO/Good HARD/Good TO/Good PICTURE/Good,1.5
360034,/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0036/000360034.WAV,WE SPEAK OUT WHEN WE FEEL WE SHOULD SPEAK OUT,Excellent,Good,WE/Excellent SPEAK/Excellent OUT/Excellent WHEN/Excellent WE/Excellent FEEL/Excellent WE/Excellent SHOULD/Excellent SPEAK/Excellent OUT/Excellent,WE/Good SPEAK/Good OUT/Good WHEN/Good WE/Good FEEL/Good WE/Good SHOULD/Good SPEAK/Good OUT/Good,1.5
360036,/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0036/000360036.WAV,I COULD DO WITH A BREAK,Excellent,Good,I/Excellent COULD/Excellent DO/Excellent WITH/Excellent A/Excellent BREAK/Excellent,I/Good COULD/Good DO/Good WITH/Good A/Good BREAK/Good,1.5
360132,/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0036/000360132.WAV,IT IS ALWAYS SO NICE TO SEE YOU,Excellent,Good,IT/Excellent IS/Excellent ALWAYS/Excellent SO/Excellent NICE/Excellent TO/Excellent SEE/Excellent YOU/Excellent,IT/Good IS/Good ALWAYS/Good SO/Good NICE/Good TO/Good SEE/Good YOU/Good,1.5
360133,/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0036/000360133.WAV,UNFORTUNATELY NO ONE IS ALLOW TO SAY,Good,Average,UNFORTUNATELY/Excellent NO/Excellent ONE/Excellent IS/Excellent ALLOW/Excellent TO/Excellent SAY/Excellent,UNFORTUNATELY/Good NO/Good ONE/Good IS/Good ALLOW/Good TO/Good SAY/Good,1.5
360161,/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0036/000360161.WAV,ALMOST TIME FOR A HAIRCUT,Good,Excellent,ALMOST/Excellent TIME/Excellent FOR/Excellent A/Excellent HAIRCUT/Excellent,ALMOST/Good TIME/Good FOR/Good A/Good HAIRCUT/Good,1.5
360190,/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0036/000360190.WAV,SO YOU WANT TO BE MORE PRODUCTIVE,Excellent,Good,SO/Excellent YOU/Excellent WANT/Excellent TO/Excellent BE/Excellent MORE/Excellent PRODUCTIVE/Excellent,SO/Good YOU/Good WANT/Good TO/Good BE/Good MORE/Good PRODUCTIVE/Good,1.5
360210,/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0036/000360210.WAV,STARTING CAN NOT BE BETTER THAN THIS,Excellent,Good,STARTING/Excellent CAN/Excellent NOT/Excellent BE/Excellent BETTER/Excellent THAN/Excellent THIS/Excellent,STARTING/Good CAN/Good NOT/Good BE/Good BETTER/Good THAN/Good THIS/Good,1.5
360223,/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0036/000360223.WAV,I KEEP IT TO BE AMUSED BY THE STUPIDITY,Good,Excellent,I/Excellent KEEP/Excellent IT/Excellent TO/Excellent BE/Excellent AMUSED/Average BY/Excellent THE/Excellent STUPIDITY/Excellent,I/Good KEEP/Good IT/Good TO/Good BE/Good AMUSED/Good BY/Good THE/Good STUPIDITY/Good,1.5
360241,/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0036/000360241.WAV,AFTER THAT I BE READY TO GO,Good,Excellent,AFTER/Excellent THAT/Excellent I/Excellent BE/Excellent READY/Excellent TO/Excellent GO/Excellent,AFTER/Good THAT/Good I/Good BE/Good READY/Good TO/Good GO/Good,1.5
